True Sentence,Predicted Sentence,Accuracy,Wrong syllables
students will have been developing digital literacy skills from a young age,studrntspillhavebeendevelopingdigitalliteracyskillsfromatounrage,0.9466666666666667,4
biometric authentication will secure access to corporate networks,biomatrixauthrntjcati0n3illsrcureacxesst0xorporatenetworks,0.8461538461538461,10
by next summer theyll be transforming the backyard into a lush oasis,vynrxtsummrrtheyllbetransformingthdbackyardinfoalushoasis,0.9264705882352942,5
we climbed to the top of the mountain,wecl0mbrdtothetopofthemoun0zin,0.8918918918918919,4
numerous individuals have been dedicating time to flexibility exercises for joint health,numdrousindividualwhavdbe3ndedicatinrtimetodlrxib0lityexercisesfirjointhsaltu,0.875,11
noah is putting on a puppet show with his hand puppets,boahisputtingonapuppstshowwithhishan0puppetd,0.9259259259259259,4
the next millennium will have seen the emergence of entirely new branches in the tree of life,thendxtmillenniumwillhavesejn4hdeme3genczofentarzlynewbrazc8esinthetreeoflifr,0.8817204301075269,11
astronomers detected the presence of an exoplanet by measuring the wobble of its parent star,astron0mrradetectrdthwpr3sznceofanrxdpxanrtbymsasu3inrthleobbleofiusparentsfar,0.8043478260869565,18
education systems grapple with issues of bribery and favoritism,dducationsystemagrapplewithissuesofbriberyandfavoritism,0.9682539682539683,2
the thunderstorm passed and the skies cleared revealing a bright moon,thethundersuo4mpassedandtheskjesxlearedrevealingabrightmoon,0.9420289855072463,4
engineers will have been collaborating with external experts tirelessly,engipezrswillhavebeencollaboratiniwlthrxuernalexprrtstirelrssly,0.8873239436619719,8
they replaced the air filter,th3yrrplacrdtheairfilter,0.8928571428571429,3
the establishment of seed banks ensures the availability of diverse and adapted plant varieties,tuzdstablid8mentofseedbanksensurrsth3aiailabilityofdiferseandadaptedplantcariqtgds,0.8631578947368421,13
life throws unexpected challenges our way but also offers moments of pure joy,lgfethrowsunzxpectedchallzngesourwaybuual200ffersmomenfsofpur3joy,0.8831168831168831,9
the ancient city of troy has archaeological layers representing different historical periods,theanxientcityoftroyhasafchaeol0gixallayersreprrsentingdiffrrsnthistoricalperiods,0.9239130434782609,7
civil society organizations partner with law enforcement agencies for corruption prevention,civjlsoxietyorganizati0nspartnerwithxazenforcwmentagenxirsforxorruption0revqntion,0.8791208791208791,11
the kids are laughing as they play a game of musical chairs,thekidaarelaughingaatheyplauagameofmusilalchairs,0.9322033898305084,4
cultural institutions will embrace technology to make heritage more accessible to all,zulturalinstitution0willembracetechnologytomak3hrridagemoreaclessibletoall,0.9294117647058824,6
cropspecific research addresses the unique challenges faced by different crops,cropspecificreszarchaddressdsrhauniqudchalmengrsfacrdbydiffe0entcrops,0.8846153846153846,9
he lent money to a family member for medical expenses,helrntmoneytoafamimmmdmbsrformfdifalrxpensds,0.8301886792452831,9
changes in social structures and family dynamics such as the prevalence of singleperson households and delayed childbearing will impact population growth rates in the future,changesins0cialstrjxturasandfamimudunamicssuchastheprevalenleofsinglepersonh0uaeholdsanddslaurdchildbearingwillimpaxupopulationjr0wturatesinthefuturr,0.8901734104046243,19
