True Sentence,Predicted Sentence,Accuracy,Wrong syllables
in the future sustainable transportation options will still be sought to ease congestion,in the future sustainabl40transiortationdoptions 3ill still be sought7to ease congestion,0.9318181818181818,2
china has been actively involved in peacekeeping missions and humanitarian efforts,china has been actively involved in peacek4eping missions and humanitarian effo5ts,0.975609756097561,2
educational diversity is a hallmark of foreign academic institutions,educational dive5sitybis a hallma5k ofmfor4ifn academic institutions,0.9117647058823529,2
the coach substituted an underperforming player,the coach substituted an underp4rfo5ming klay4r,0.9148936170212766,1
female scientists have played crucial roles in the development of personalized cancer treatments,female scientists have klayed c5ucials5oles inathe d4velo9ment of pe5sonaliz4d cance5 treatm4nts,0.8854166666666666,2
aienhanced agricultural robotics will have been automating various farming tasks,aienhanc4d agricultural robotics 3ill have been automating va5ious farming tasks,0.9625,3
the sun had been hanging low in the sky as they watched the sunset from the hilltop,the sun had been hanginf2los in th4 sky asathey satched the sunset from th4 hillto9,0.9036144578313253,4
by next winter snowy conditions will still be causing traffic disruptions,by next sinter snosy conditions sill stillmbe causing traffic disru9tions,0.9315068493150684,3
scientists will have been developing more efficient methods of sperm selection through assisted reproductive technology,scientists will hav4 beenwd4velo9ing mo5e efficient methods of s9e5m selection through assisted re95oductivectechnology,0.9159663865546218,3
by the time the new semester starts students will have been preparing with online tutorials,by th4itime thejnew s4mester sta5ts students 3ill hav4 be4n pr49aring0with onlinectutorials,0.8681318681318682,2
influencers will collaborate with brands on shoppable content experiences,influ4nce5s sill collaborate 3ithvbrands on sho99able contentwex94riences,0.863013698630137,3
carbon offset programs will encourage individuals and businesses to mitigate their pollution,ca5bon offset proframs will encou5age individuals8and businesses to mitigate their kollution,0.9456521739130435,4
version control systems like git help track changes in web development projects,versionncont5ol systems like git helk track changesmin seb developm4ntw9rojects,0.8987341772151899,3
developers will have created immersive virtual tourism experiences with amorphous computing by 2049,develokers will have created imme5sive vi5tualdtourism ec9eri4nces 3ith amorihous com9uting by 2049,0.898989898989899,2
the fishermen had caught a variety of fish including bass and perch,th4 fishe5men hadhcaught a variety of fish including bass and kerch,0.9402985074626866,2
fighters are promoting environmental sustainability initiatives,fighte5s are iromotinf environmental sustainabilitu initiatives,0.9365079365079365,3
she served an ace down the line leaving her opponent stunned,she served an ac4 dosn th4gline leaving h45 ok9onent stunned,0.8666666666666667,2
by the end of the semester i will be grading a stack of essays,by the end of the s4mester i will be grading a stack of 4ssays,0.967741935483871,2
the author was conducting research for his next historical fiction novel,th4 author was conducting 5esearch for his next histo5ical fiction novel,0.9583333333333334,3
aidriven dynamic pricing will adjust in realtime,aidriven dynamic pricingnwill adjust in r4altime,0.9583333333333334,2
facial recognition systems will enhance public safety measures,facial recognition syst4ms will enhance 9ubliclsafety measures,0.9516129032258065,2
the cars radio antenna got bent,th4 ca5s radio antenna fot bent,0.9032258064516129,2
we repaired a dent in the rear bumper,se re9aired a d4nt in the 5ear bumke5,0.8378378378378378,3
incident response teams are swiftly addressing security breaches as they occur,incident resions4 teams ar4 swiftly add5essingxsecuritu breaches as theu occur,0.9102564102564102,4
deep learning models will have been assisting in wildlife tracking and conservation,de49 learning models will have6been assisting in wildlife tracking and conservation,0.963855421686747,2
engineers will have been finetuning the network infrastructure for months,enginee5s will4have been finetuninf the network infrastructu5e for months,0.9452054794520548,3
vr technologies have been utilized in therapy for individuals with adhd providing focusenhancing experiences,vr technologies have b4enhutiliz4d in theraky for individuals 3ith adhd i5ovidinf focusenhancing ezperienc4s,0.9074074074074074,5
chatgpt will be evolving continuously,chatg9t sill be 4volvinf continuously,0.8918918918918919,2
they had been charging their ipad overnight before it stopped holding a charge,th4y had been charginf their iiad overnifht before it sto99ed holding a cha5ge,0.9102564102564102,5
scholars studied the engineering techniques used to build the pyramid,scholarsystudied the engineerinf techniques used to build the 9yramid,0.9565217391304348,3
they have been sharing interesting articles on facebook lately,they4have1b44n sharing interesting articl4s on facebook latelu,0.9032258064516129,3
students will have been accessing educational resources from anywhere in the world,students will have been5accessing educational resourc4s fromoany3here in th4 3o5ld,0.9146341463414634,3
fighters are overcoming injuries to compete at the highest level,fighters are ove5cominf injuriesjto com9ete at th4 highest level,0.921875,2
designers have integrated rainwater management systems to control runoff and erosion,designers have integ5ated rainsater manag4m4nt systems6to control runoff and e5osion,0.9285714285714286,2
upandcoming promotions are leveraging blockchain for transparent and secure transactions,u9andcominf promotionszar4 l4ve5aging blockchain for transkarent and secure transactions,0.9204545454545454,2
she had prepared a fish en papillote with vegetables and herbs,sheahadr9reiared a fish en 9a9illote with veg4tabl4s and herbs,0.8709677419354839,3
efforts to eliminate genderbased stereotypes in media representation have been ongoing,efforts to eliminat4 genderbased ste5eoty9es in media rekresentation hav4 b4en onfoing,0.9186046511627907,3
