True Sentence,Predicted Sentence,Accuracy,Wrong syllables,LLM Sentence,LLM Accuracy,LLM Wrong syllables
by 2480 genetic engineers will have created organisms capable of surviving in space without life support,my 2c80 gehe5ic engibder5 wi1k hsve crsaqes prqanismzocapavxe of6surviving in space with8ut life sjppoqt,0.7692307692307693,3,by 2480 genetic engineers will have created organisms capable of surviving in space without life support,1.0,0
by 2510 the local government will have been investing in green infrastructure for generations,by 251a the lo8ab gpvernmebt qi1c hqvw hten inawsting iv g1een infr1s5rjcqure f8r heneratkons,0.7526881720430108,2,by 2510 the local government will have been investing in green infrastructure for generations,1.0,0
fully automated factories will have become the standard by 2040,fu1lg autjm1red facqor8ws w8ll havz beco0z rhw sqabdqrs by 2050,0.6984126984126984,2,follow automated factories will have become the squaders by 2050,0.8818897637795275,3
researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,rwswarcheqq wilb hxve uboocked new inzihqus intifcogm88i7e computing with aqo8ohous compuqivgzv6 1049,0.7425742574257426,3,research will have booked new initiatives in cognitive computing with a quality computer system,0.7448979591836735,4
by 2210 education will have been a seamless blend of physical and virtual realities,8g 2280 eduwat8ob whlc have been a sw8qsess b2end uf physical amd viru6al 9eak8t8es,0.7590361445783133,3,by 2280 educators will have been a success blend of physical and virtual breakthroughs,0.8520710059171598,3
companies will have adopted amorphous computing solutions across industries by 2032,cpmpan8es eild havx2awoptwd amo8pho8s cllpuring5skbutiins scrpss 7ndustriws b5 2038,0.6746987951807228,1,companies will have adopted amphibious skiffs and sustainable industries by 2038,0.7361963190184049,2
by 2045 the healthcare industry will have been leveraging interoperable information for over three decades,mu 2b45 theqheacthcare incubtry ehml hav9 bezq k1vz1vvi8g interooe8ab0e info1qatiow for l911 bqree cecadww,0.6698113207547169,2,by 2450 the healthcare industry will have been living independently for 911 years,0.7058823529411765,3
by 2650 digital literacy will have become universal bridging the digital gap,by 2650 digival wirerady w8l0 have becomw universaw bridging rge cigita0 gsp,0.8289473684210527,3,by 2650 digital wiring will have become universal bridges of the city grid,0.8,3
by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,b8 2048 s7art grid r5chnologies wizl have befn wptimkzh8h emergy cist8ibbci8n tkr8hhh datadr9bwn hb98rosthon 8nter8heravicity fdr rhirty 6ears,0.7253521126760564,4,by 2048 start grid technologies will have been optimizing energy distribution that drives data growth and entrepreneurship for thirty years,0.7615658362989324,2
communities will have embraced digital technology as a catalyst for progress by 2470,eomeuhities w9o9 ha6y emqracwc sigitsl texhvwoohn as a cxvax9st fwr wrxgress vy 2470,0.6785714285714286,2,environments will have emerged significant technologies as a catalyst for progress by 2470,0.8160919540229885,2
by 2040 elm will have become a mainstream choice for building frontend web applications,by 20z0 epm wi84 hah5 bscoaw a nainzjream choice for buildwng drpn6end web applicatiohs,0.8045977011494253,4,by 2020 developers will have built a mainstream choice for building dynamic web applications,0.8156424581005587,3
by 2050 artificial intelligence will have been continuously evolving for several decades,og 20595artiriciak iqte3pigznce 3ilx hace byen dont9nuously ev01vimg zor severaw dwcades,0.75,1,by 2050 artificial intelligence will have been undoubtedly evolving for several decades,0.9257142857142857,1
by 2049 amorphous computing will have facilitated breakthroughs in neurotechnology,hy 2p49 ab2rphous zoqqutgnh zoll havz facimi8ated breskrqroughs in beu8otechnwwogy,0.7439024390243902,2,by 2049 an abstruse zoologist will have facilitated breakthroughs in biotechnology,0.8048780487804879,2
by 2130 aipowered education systems will have been tailored to each students learning style,byj21w9 a8wowerec educauiwn sysrems wi8b have bernitail0red to wach srudebuc lr81bimgiqtyle,0.7252747252747253,3,by 2021 a wonderful education system will have been tailored to watch students learn,0.8342857142857143,4
researchers will have employed continual learning techniques to adapt biomedical text mining models over time by 2043,reseaqchyrs wizl have ebplogex c8jtinua1 0zarn8qv 6dchn8qu0s tu adapt 0iome27ca0 gsxg mine7g modebs8kver qime hy 2063,0.7094017094017094,3,researchers will have continued to adapt environments to survive in extreme modes by 2063,0.6116504854368932,3
by 2950 every individual will have equal opportunities in the digital realm,my 26g0 every ihdiwiduao wicc h1xe eqjab oppor6uni68es in 6heddihi8ac rralq,0.6666666666666666,3,my 260 every individual will have equal opportunities in higher education,0.8108108108108109,2
quantum computing will have decrypted complex codes by 2040,quamvum cozpuugvg zhbl havw cecrip8sd comp0ex 2ldes bu 2o10,0.6610169491525424,1,by 2010 complex algorithms have been created,0.2912621359223301,2
by 2220 floating cities will utilize innovative filtration systems to sustain clean water supplies,bu 2220 fboa67ng citirsawi1l utip8zr innovative698qtrauioh sysgems tx6s8staiq clwan warer au0pliec,0.7346938775510204,2,by 2220 flying citizens will use innovative transportation systems to access clean water and apply,0.7857142857142857,5
by 2220 ai will have been deeply integrated into the fabric of education,by 2110 ai wi1p hz8e been de9pcy 9nuegrarwd inqunthe fabricbof ec8cctiog,0.7222222222222222,3,by 2110 ai will have been deployed in the fabric of computing,0.7969924812030075,3
by 2050 3d printing technology will have advanced to the point of printing fully functional human organs,bu 205e 3d o1gntgng qechbologh6wiol havrgadvaqcexpto 6he poiut o9 orinuhngb9ulc7 f8vc2ixmqs human 0rgahs,0.6442307692307693,3,by 2050 threedimensional organisms will have evolved to have adaptive expertise to the point of originating bulging follicles for human organs,0.5772357723577236,3
efforts to close the digital gap will have borne fruit by 2060,e5dj8ts to cwose uhe digi5al gap zils 8ave nornejfruit bg 1060,0.7741935483870968,3,efforts to close the digital gap will have narrowed by 1060,0.859504132231405,2
by 2046 smart traffic management systems will have been optimizing urban mobility through interconnected information systems for thirty years,au 10h6 smarr graffic nznamemenu syctenz z8ll havr beenoopthqizinh 8r0an mobili9y through 8btrrconnwc5ew in5qrmati2n 8ysrems for thirturuea8z,0.7163120567375887,3,by 2020 smart graphic navigation systems will have been improving or reducing mobility through better connectivity and systems for transportation,0.6923076923076923,5
access to digital resources will have become a cornerstone of development by 2760,avccsw roqxjgita3 resogrcts wglp have becxbe a c81hwrstqne 0f deveaopmen6 vy 2850,0.7037037037037037,3,average robotics will have been a cornerstone of development by 2850,0.7651006711409396,3
engineers will have integrated amorphous computing into urban planning systems by 2046,enginerrs vill have in2eh1ared zno1pqous z8mputing 7mvo hrbaq pl1nning systwms vy 2048,0.7558139534883721,2,engineers will have incorporated numerous computing and hardware planning systems by 2048,0.8,3
by 2045 knowledge distillation techniques will have compressed complex models for efficient biomedical text mining,b8 2045 kn8wledvy d8qtil8ati0b techn8ques wolwwhavh coqpresswd 08mpaex mpdels for wf4i1ient b8og3d8za8 twx2 miwinv,0.7105263157894737,3,by 2045 knowledge dedicated technologies will have compressed opensource models for efficient bogged systems in transit,0.7296137339055794,3
biomedical text mining will have played a crucial role in personalized medicine by 2030,7ioge48cal rext g8n8qgbw8ll have kl168d a crucial r0ww in persoba3izes medicige by 2037,0.735632183908046,5,geological reports will have played a crucial role in personalized medicine by 2037,0.8352941176470589,2
by 2100 humans will have mitigated some of the negative impacts of evolutionary mismatches,by 21z0 hum1ws will have ait8ga6ed sdme oe thr negari0e 9mpac6s 8f enowuti8nzr0 mjs6atbhws,0.7444444444444445,2,by 2100 humans will have achieved some of the negative impacts of overpopulation,0.8,2
by 2130 deep learning will have been enhancing global communication networks,bu 213o ceeq lea1ning wilb have been whhahc8n9 qcoban commbnidaqijn nzrwo2ka,0.6973684210526315,2,by 2100 the sea level will have been changing ocean communities,0.7050359712230215,2
by 2500 centralized ict policies will have been addressing ethical concerns in artificial intelligence,su 250p czmrr1ki5ed hcu p7pic8ec w94b hsve bd1n ssdressing eth8cal9c8nc68hs ib artiaicial 9nryll9gencr,0.6176470588235294,1,by 2500 scientists have been developing a web of ethical concerns in artificial intelligence,0.7731958762886598,2
investments in digital infrastructure will have created a level playing field by 2420,ibves2mrnts68n digitap ibcqasqr8ctjqw eiol hqvw c8eated a aebeoeplagiqg 98els by 242v,0.6588235294117647,3,investments in digital infrastructure will have created a believable solution by 2420,0.8352941176470589,1
