True Sentence,Predicted Sentence,Accuracy,Wrong syllables,LLM Sentence,LLM Accuracy,LLM Wrong syllables
innovative technologies have allowed for the creation of clothing from recycled plastic bottles,inh8zative techno0ogixs hqve allowed for the creatiin 0w dpithinw drom r9xucled plastix bou6les,0.7894736842105263,20,innovative technologies have allowed for the creation of durable plastic bottles,0.8685714285714285,1
they experimented with a keto diet to lose weight,theg exper8mented with a keuoaxiet ro l0qe weight,0.8367346938775511,8,the experimented with a keyoaxiet role to lose weight,0.8823529411764706,2
the country is prone to earthquakes due to its location on several active fault lines,9he countrg is ptone tp ewrrhqta8es due uo its wocztikn oh severallactive fauct w8bes,0.788235294117647,18,the country is prone to earthquakes due to its wickedness of several active faults,0.874251497005988,2
the striker slotted the ball past the onrushing goalkeeper,the surike8 sloutew rhe ball pqsr rhw onrushing goalkeeper,0.8448275862068966,9,the surike8 sloutew rhe ball psr rhw onrushing goalkeeper,0.8521739130434782,2
educational institutions will have played a pivotal role in narrowing the digital divide by 2720,educatiknal ynsgitutii9s w8ll have p0ayed a pivotal 1kle in narrowihgsthe digital divide vy 2720,0.875,12,educational institutions will have played a pivotal role in narrowing the digital divide by 2020,0.9895833333333334,1
she participated in a workshop on islamic history and civilization at the mosque,ahe pargicipated ih s worksho8 ob is3smic hist8ry azs xivilizagiln at the mosque,0.825,14,ahe participated in the workshop on its historic significance as a symbol of civilization at the mosque,0.7650273224043715,3
he was browsing through the shelves of the library for a historical fiction novel,he was wrowsihg throggh the shelves8of the ljvrqry fo1 a historicaw rict8oq novel,0.8518518518518519,12,he was browsing through the shelves of the library for a historic novel,0.9342105263157895,1
shell write the email after lunch,shelp wriue thefemwil after lunch,0.8787878787878788,4,help write the female after lunch,0.9090909090909091,2
by the time they arrived at the campsite the sun had been setting in a fiery blaze,vy the gime uhey 18rived at rhe campsire thw shnfhad bedq sejt8ng onba fiecgqv0az1,0.7317073170731707,22,vy the game you heard at the campsite the sheriff had bed quiet sensing on board a fierce cougar,0.6853932584269663,5
by 2070 disparities in digital access will have become a thing of the past,by 2w70 d8spariries in digira4 acdess wil0 havecbecome a thing of the past,0.8918918918918919,8,by 2 weeks distant relatives in digital age will not have become a thing of the past,0.8227848101265823,3
dhaka hosted international conferences and events,dhaka hoated internatioqal confwrences and events,0.9387755102040816,3,dhaka hosted international conferences and events,1.0,0
web developers integrate voice search functionality for improved user accessibility,web developers1integ1ate voice searchjfuncqionalitg for im8rovez yser 1xxessibhliyy,0.8433734939759037,13,web developers integrate voice search functionality for improve user accessibility,0.9939393939393939,1
cultural events will be attended,cul2uraw evwnts will bx attended,0.875,4,culture events will be attended,0.9523809523809523,1
scientists are studying the properties of polaritons for potential use in quantum information processing,sx7entiats 8re vtudy8ng the procerqies of 8op8r9t8qs f81 potenuialbuse in qusntum gnformqtion8h1oxesspng,0.75,26,sx7entiats are studying the processes of 8op8r9t8qs f81 potenuialbuse in qusntum gnformqtionh1oxesspng,0.7669902912621359,4
chatgpt will be optimizing telecommunications networks,chatgpt wikb be aptimizjng te3ecommunixations nerw8rks,0.8518518518518519,8,chatgpt will be optimizing telecommunications networks,1.0,0
the athletic border collie leaps high into the air to catch a frisbee in midflight,thc sthletickborder coklge leaps high in8o the air uo catch q fr8abee 8b midflighr,0.8414634146341463,13,the athletic border college leaps high in the air to catch a free bee ab midflight,0.9146341463414634,3
construction projects have prioritized the use of recycled steel and other sustainable metals,cobswrucwioh projecrs hqve prioritixed the use of recycled steel and pqher sustainabpe metaws,0.8817204301075269,11,cobswrucwioh projects have prioritised the use of recycled steel and peer sustainable metals,0.918918918918919,3
bangladesh will safeguard its liberation achievements,vanwladesh wizl safegua1d8itw liberati1n achoemements,0.8301886792452831,9,vandesh with safeguards it liberation achievements,0.8932038834951457,1
researchers are studying the principles of quantum tomography for precise measurement techniques,resebrchers are study8ng yhe principles oc quqnaum romogr5phy z0r wrecise bwasyrement uechniqyes,0.8333333333333334,16,researchers are studying the principles of quantum romography zero width baseline precise business rendering techniques,0.8186046511627907,2
personalized virtual reality therapy will have revolutionized mental health treatment by 2035,personalized virtuac realigy gherapy will have revolhtionizedvmehtal health t1eatmenu by 2035,0.913978494623656,8,personalized virtual reality therapy will have revolutionized mental health treatment by 2035,1.0,0
dhakas neighborhoods underwent gentrification,dhakas neighb0rhoods underwenr gehtrhdicaui0n,0.8444444444444444,7,dhakas neighborhoods underwent gentrification,1.0,0
python will have evolved into an even more powerful language by the end of this decade,pwjhov will hane enolved into an even more powercyw langusge by uhe enc odxthisqdecadw,0.8255813953488372,15,powerful will have evolved into an even more powerful language by the end of this decade,0.9425287356321839,1
citizen science initiatives will engage the public in monitoring and addressing pollution,xiwizen schencx initiativesfw9ll ennage thr public in moniuorigg and4a5dreszing pollut8on,0.8426966292134831,14,xiwizen science initiatives will engage the public in monitoring and addressing pollution,0.9775280898876404,1
the striker chested the ball down and volleyed it into the net,8hegstriker chesred the bawl down avd vol4eyex it into the net,0.8870967741935484,7,the striker chased the ball down and volleyed it into the net,0.975609756097561,1
property developers have collaborated with architects to design innovative and modern structures,p1oueruy xevelopers hsve xollaborqted wirh archhtects tk design pnnkwative 1nd modern structures,0.8541666666666666,14,pioneering engineers have collaborated with architects to design progressive and modern structures,0.8350515463917526,2
the content creator edits a travel vlog on her laptop using video editing software,the content creat0r edits a tranel vlpg oncher laogow using video exiting softwa8e,0.8902439024390244,9,the content creator edits a travel blog on her laptop using video editing software,0.9878048780487805,1
food manufacturers are reducing the use of artificial additives in their products,food mahuzaxtorers are 8educing ths use of arrifixis0 qddiuiv8s hn their prosucts,0.8148148148148148,15,food manufacturers are educating the use of artificial ingredients in their products,0.9090909090909091,2
dhakas riverfront areas underwent beautification projects,dhakaw riverfr8nt areas ugdwrwent beautifocat5om pqojects,0.8596491228070176,8,dhaka riverfront areas underwent beautiful projects,0.9074074074074074,2
by 2330 the government will have been promoting mental health awareness for decades,by 233a 2hw gobernbenr w8ol hs0e been promoting menral heaoth qwzrenesskf0r deccdeq,0.7831325301204819,18,by 233 am 2 how gobernner wait hole has been promoting mental health awareness,0.7453416149068323,2
the batsman was caught behind by the wicketkeeper,ghe bquskqn was caughr behind by the wicketbeepwr,0.8367346938775511,8,ghe baskunk was caught behind by the wicketkeeper,0.9183673469387755,1
restaurants are adapting their menus to accommodate dietary restrictions and allergies,qestaurangs are adapting g5eir menus ro acdommodate dietaqy restricri8nslahdtsllergies,0.8488372093023255,13,questaurangs are adapting their menus to accommodate dietary restrictions and allergies,0.9710982658959537,1
we went on a hiking trip and witnessed a breathtaking sunrise from the summit,we wrnu on q hikgng 6rip qns withessed a qre1theaking suhrise fr0m the summiq,0.8181818181818182,14,we run on a hiking trip questions with experienced a breathtaking sunrise from the summit,0.8313253012048193,2
we were browsing through an online bookstore for the latest releases,we were b1lwsibg uhrkugh qn onoine booksfore for uhe datest rrleases,0.8382352941176471,11,we were browsing online books for upcoming releases,0.7226890756302521,3
the brightly colored tang grazes on algae keeping the coral reef clean,the brighuoylc8loredtyang grazes 0n akga1 keep9ng rhe co1al r1ef ckean,0.8,14,the bright yellow tang grazes on a keg keep9ng the coal reef clean,0.8529411764705882,3
they drifted apart over time due to conflicting priorities,ghey1dr9fted apq1t ovrr0time cusht8 confkicting priorities,0.7931034482758621,12,ghey1dr9fted apart over time conflicting priorities,0.8807339449541285,2
readers have been incorporating fiction into their routine fostering empathy and emotional intelligence,readers have beek7inxorporauinv wict9on1int0 r8e9r routine fosterhng 4mpathy2ahd emoti0hak iqgelbigence,0.7864077669902912,22,readers have become increasingly involved in reading routine fostering empathy and emotional intelligence,0.8173076923076923,1
they had been playing in the sundrenched park enjoying the warmth of the afternoon,uhey had bezn poaying in the sundrenchedxpark enjpy8ng the wzrmth of the afternlon,0.902439024390244,8,uhey had been poaching in the sundrenched park enjoying the warmth of the afternoon,0.9575757575757575,2
bangladeshi food will be a source of pride,bsng1qdesh9 flod will bevagsource of 8rice,0.7857142857142857,9,bangladesh will be a source of rice,0.8831168831168831,2
microbial lipids have applications in food production and industrial processes,micqobiaz cipida have applications i9 food production and indystrial pr8cesseq,0.8974358974358975,8,microbial cipid have applications in food production and industrial processes,0.9806451612903225,1
evolutionary conservation strategies will have safeguarded genetic diversity in endangered species,ewolutiona1ycconservqtion qtrategieszwill have safeguardec genegic divsrsiry ih endannered spexiws,0.8571428571428571,14,evolutionary conservation strategies will have safeguarded genetic diversity in endangered species,1.0,0
citizens use social media to expose instances of corruption,xitizens use spcoal media uo7exp8se ihstances of cwrrupthon,0.847457627118644,9,citizens use social media to expose instances of corruption,1.0,0
the teacher had organized a school supply drive to provide students with necessary materials,thett1ache1 had ornanized a school supply dqive to pro5ide stucents with wec1ssary5materials,0.8913043478260869,10,the teacher had organized a school supply drive to provide students with necessary materials,1.0,0
the mosques minaret was visible from miles away,the mosques m8narer wss nisible frim mibes away,0.8723404255319149,6,the mosques nearer were visible from miles away,0.8936170212765957,1
the vibrant colors of the wildflowers attract a multitude of buzzing insects,rhe7viv1sng colors 0f the wi4dfpowers atutact a mu4t9gude of b8zzing invwcts,0.7763157894736842,17,rhe7viv1sng colors of the wide powers atutact a mu4t9gude of b8zzing invwcts,0.7894736842105263,4
brands will leverage influencer partnerships for market research and insights,brands wikl zevrrage inflwe7cer sarrgersh8ps fkr ma1ket research anddinsights,0.8441558441558441,12,brands will zealously influence sellers for market research and insights,0.8053691275167785,1
she traveled to france and savored authentic french cuisine,she trabeeev tp france and ssvorsdgauthehtic f1ench cuisine,0.847457627118644,9,she travels to france and savors the french cuisine,0.8909090909090909,2
