True Sentence,Predicted Sentence,Accuracy,Wrong syllables
by 2480 genetic engineers will have created organisms capable of surviving in space without life support,byr2480 geneticoengineers will have created organisms capable of surviving in space without life support,0.9807692307692307,1
by 2510 the local government will have been investing in green infrastructure for generations,by 2510 the local government will have been investing in green infrastructure for generations,1.0,0
fully automated factories will have become the standard by 2040,fully automated factories willuhave becomehthe standard by 2040,0.9682539682539683,1
researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,fesearxhers will haveyunloxked new insights into cognitive computing with amorphous computing by 2049,0.9603960396039604,2
by 2210 education will have been a seamless blend of physical and virtual realities,by 2210 eduxation eill have beenda seamless blend of physixal and virtual realities,0.9518072289156626,3
companies will have adopted amorphous computing solutions across industries by 2032,companies will have adopted9amorphous computing solutions axross industfiesqby52032,0.9397590361445783,2
by 2045 the healthcare industry will have been leveraging interoperable information for over three decades,by 2045 the healthcare industry will have been leveraging interoperable information forcover three decades,0.9905660377358491,1
by 2650 digital literacy will have become universal bridging the digital gap,by 2650tdigital literacy willwhave become universal bridging the digital gap,0.9736842105263158,2
by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,by 2048 smart gfid technologies eill have been optimizing energy distributionmthrough datadriven information9intefopefability for thirty years,0.9577464788732394,4
communities will have embraced digital technology as a catalyst for progress by 2470,communities eill have embraced digital4technology as4a catalyst fof progress by 2470,0.9523809523809523,3
by 2040 elm will have become a mainstream choice for building frontend web applications,by 2040 elm will have bexome a mainstream choice for building5ffontend web applications,0.9655172413793104,2
by 2050 artificial intelligence will have been continuously evolving for several decades,by 2050zartificial intelligence will have been continuously evolving for several decades,0.9886363636363636,1
by 2049 amorphous computing will have facilitated breakthroughs in neurotechnology,by 2049pamofphous computingywill have faxilitated breakthroughs in neurotechnology,0.9512195121951219,2
by 2130 aipowered education systems will have been tailored to each students learning style,by 2130 aipowered educationrsystems will4have been tailored to eachwstudents learning style,0.967032967032967,2
researchers will have employed continual learning techniques to adapt biomedical text mining models over time by 2043,researchers will have employed continual learning techniques9to adapt biomedical text miningxmodels overdtime by 2043,0.9743589743589743,2
by 2950 every individual will have equal opportunities in the digital realm,by 2950 evefy individual eill have equal opportunities in the digital realm,0.9733333333333334,2
quantum computing will have decrypted complex codes by 2040,quantum computing will have decfypted complex codes by 2040,0.9830508474576272,1
by 2220 floating cities will utilize innovative filtration systems to sustain clean water supplies,by 2220 floating cities will utilize innovative filtfation systems to sustain clean water supplies,0.9897959183673469,1
by 2220 ai will have been deeply integrated into the fabric of education,by 2220 ai eill have been deeply integrated into the fabric of education,0.9861111111111112,1
by 2050 3d printing technology will have advanced to the point of printing fully functional human organs,byg2050 3d printing technology will have advanced to the point of printing fully functional human organs,0.9903846153846154,1
efforts to close the digital gap will have borne fruit by 2060,efforts to closesthe digital2gap will have borne3fruit by 2060,0.9516129032258065,2
by 2046 smart traffic management systems will have been optimizing urban mobility through interconnected information systems for thirty years,by 2046 smart traffic management systems will have been optimizing ufban4mobility thfough interconnexted information systems fof thirty years,0.9645390070921985,2
access to digital resources will have become a cornerstone of development by 2760,access to digital resources eill have bexome a cornerstone of development bye2760,0.9629629629629629,3
engineers will have integrated amorphous computing into urban planning systems by 2046,engineersjwill have integratedzamorphous computing into urban planning systems by 2046,0.9767441860465116,2
by 2045 knowledge distillation techniques will have compressed complex models for efficient biomedical text mining,by 2045 knowledge distillation techniques will have xompressed complex models fof efficient biomedical text mining,0.9824561403508771,2
biomedical text mining will have played a crucial role in personalized medicine by 2030,biomedical text mining eill have played a crucialtrole in personalized medicine by 2030,0.9770114942528736,2
by 2100 humans will have mitigated some of the negative impacts of evolutionary mismatches,by 2100 humans will4have mitigated some of the negative impaxts of evolutionary mismatxhes,0.9666666666666667,3
by 2130 deep learning will have been enhancing global communication networks,by 2130 deep learning eill have been enhancing global communication networks,0.9868421052631579,1
by 2500 centralized ict policies will have been addressing ethical concerns in artificial intelligence,by 2500 centralized ixt policies eill have been addressing ethical xoncerns in artificial intelligence,0.9705882352941176,3
investments in digital infrastructure will have created a level playing field by 2420,investments in digital infrastfuctufefwill have created arlevel playing field by 2420,0.9529411764705882,2
biomedical text mining will have played a vital role in unraveling complex gene regulatory networks by 2040,biomedical text mining will have played a vital rolevin unraveling complex gene regulatory networks by 2040,0.9906542056074766,1
by 2290 researchers will have developed methods for reversing climate change,by 2280 researchers will have developed methods for feversing climatexchange,0.9605263157894737,2
by 2050 amorphous computing will have transformed how we approach environmental conservation,by 2050 amorphous computing will have transformed hoe ee approach environmental conservation,0.9782608695652174,1
by 2040 python will have remained the language of choice for data science and ai,by 2040 python will have remained thealanguage of choice for data science and ai,0.9875,1
by 2070 disparities in digital access will have become a thing of the past,by 2070 disparities in digital acxess will have become a thing of the past,0.9864864864864865,1
biomedical text mining will have accelerated the identification of diagnostic biomarkers by 2041,biomedical text mining will have8accelefated thehidentification of diagnostix biomafkers by 2041,0.9479166666666666,2
by 2040 amorphous computing will have enabled unprecedented levels of data processing,by 2040 amorphous xomputingewill have enabled unprexedented levels of data processing,0.9647058823529412,2
by 2270 advancements in robotics will have been transforming the way surgeries are performed,by 2270 advancements in roboticsgwill have been transforming the way surgeries are pefformed,0.9782608695652174,2
advanced 3d data visualization techniques will enhance spatial understanding,advanced 3d data visualization texhniques3eilltenhance spatial undefstanding,0.9342105263157895,2
by 2050 amorphous computing will have transformed global supply chain logistics,by 2050 amorphous xomputing will have transformed global supply chain logistics,0.9873417721518988,1
researchers will have deployed swarm intelligence methods for collaborative biomedical text mining by 2042,reseafchers will have deployed swarm intelligence methods for collaborative biomedical text mining by42042,0.9811320754716981,2
by 2035 personalized healthcare plans will have been developed through comprehensive information interoperability for twenty years,by 2035 personaliaed healthcafe plans will have been developed through comprehensive infofmation interoperability for twenty yeafs,0.9692307692307692,3
developers will have created intuitive programming languages for amorphous computing by 2039,developers will have created8intuitive programmingjlanguages for amorphous computing by 2039,0.9782608695652174,1
by 2047 deep reinforcement learning agents will have autonomously navigated biomedical literature for relevant information,by 2047 deep reinforcement leafning agents willihave autonomously navigated biomedical literature for relevantninformation,0.9754098360655737,3
by 2045 predictive analytics will have been optimizing decisionmaking processes through comprehensive information interoperability for thirty years,by 2045 predictive analytics will have been optimizing decisionmaking processes throughkcomprehensive information interoperability forpthirty years,0.9863945578231292,2
by 2290 centralized ict trends will have been shaping the future of work through automation,by 2290 xentralized ict trends will have been shaping the future of eork through automation,0.978021978021978,2
by 2041 precision agriculture techniques will have been improving crop yields through comprehensive information interoperability for thirty years,bym2041 precision agriculture techniques will have been impfoving crop yields through comprehensive information intefoperabilitylfor thirtynyears,0.9655172413793104,3
by 2730 technological advancements will have uplifted marginalized communities,by 2730 technological advancements will have uplifted marginalized communities,1.0,0
robots will be commonplace household helpers by the year 2050,robotspwill be commonplace household helpers byuthe year 2050,0.9672131147540983,2
by 2027 schools will have been implementing blended learning models for a significant period,by 2027 schools will have been implementing blended learningumodels for a significant pefiod,0.9782608695652174,2
by 2036 immersive entertainment experiences will have been enhanced by personalized information interoperability for twenty years,by 2036 immersive entertainmentoexperiences will have been enhanced by personalized information interoperability for twenty years,0.9922480620155039,1
by 2150 assisted reproductive technology will have been a fundamental aspect of human evolution for centuries,by 2150 assisted reproductive technology will have been a fundamentalqaspect of human evolution for centufies,0.981651376146789,2
by 2047 smart cities will have been leveraging information interoperability for over thirty years,by 2047 smart5cities will have been leveraging information interoperability for over thirty years,0.9896907216494846,1
by 2040 erlang will have remained a preferred language for building highly concurrent systems,by 2040 erlangheill have remained a pfeferred language for0building highly concurrent systems,0.956989247311828,3
by 2050 deep learning will have been surpassing humanlevel performance in many domains,by 2050 deep learning will have beengsurpassing humanlevelgperformance inzmany domains,0.9651162790697675,1
chinese companies have been investing in the development of 6g technology aiming for the next generation of communication,chinese companies have been investing in the development of 6g technologytaiming for the next generation of communication,0.9917355371900827,1
by 2110 robots will have been seamlessly integrated into every aspect of surgical care,by 2110 robots will have been seamlessly integrated intoeevery aspect of surgical care,0.9883720930232558,1
by 2045 personalized travel itineraries will have been facilitated by comprehensive information interoperability for thirty years,by 2045 personalized travel itineraries will have7been facilitated by compfehensive infofmationdinteropefability for thirty years,0.9612403100775194,2
innovators will have harnessed amorphous computing for precision agriculture by 2048,innovators will have harnessed amorphous computing for precision agriculture by 2048,1.0,0
by 2550 technological advancements will have benefited all segments of society,by 2550 texhnological advancements will have benefited allqsegments of society,0.9743589743589743,2
biomedical text mining will have supported the identification of novel therapeutic targets by 2047,biomedical text mining will haveusupported the identification of novel therapeutic targets by 2047,0.9897959183673469,1
by 2047 ensemble learning ensembles will have improved the robustness of biomedical text mining systems,by 2047 ensemble learning ensembles will have improved the robustness of biomedical text mining systems,1.0,0
by 2040 swift will have continued to evolve making ios development even more efficient,by32040 swift will have continued to evolve making ios development evencmore efficient,0.9767441860465116,2
by 2030 the government will have been improving public services for over a decade,by 2030 the government eill have been improving public services for over afdecade,0.9753086419753086,2
by 2031 financial institutions will have been implementing information interoperability standards for over a decade,by 2031 finanxial institutions will have been implementing information interoperability standardsxfor ovef a dexade,0.9652173913043478,3
by 2790 every corner of the globe will have access to digital services,by 27908every xorner ofuthe globe2will have access to digital services,0.9428571428571428,1
by 2310 the local government will have been supporting community development for generations,by 2310 the local government will have been suppofting community development for generations,0.9891304347826086,1
companies will have utilized amorphous computing for predictive maintenance in space exploration by 2049,companies will have utilized amorphous computing for predictive maintenance in space9explofation by 2049,0.9807692307692307,1
educational institutions will have played a crucial role in narrowing the digital divide by 2110,educational institutions will have played auxrucial role in narrowing the digital divideyby 2110,0.96875,2
by 2030 ruby on rails will have continued to be popular for rapid web development,by 2030 ruby on rails will have continued to be popular for rapid webwdevelopment,0.9876543209876543,1
by 2110 innovative biofiltration techniques will be widely adopted to purify contaminated water,byn2110 innovative biofiltfation techniques will be widely adopted2to purify contaminated eater,0.9578947368421052,4
the digital divide will have been conquered marking a new era of digital equity by 3020,the digital divide will have been conquefed marking a new era of digital equity by 3020,0.9885057471264368,1
by 2350 surgeons will have been embracing robotics as essential tools in their arsenal,byz2350 surgeons will have been embracing robotics as essential tools inotheir arsenal,0.9767441860465116,2
by 2460 governments will have been addressing urbanization challenges for a long time,by 2460 governments will have been addressing urbanization xhallenges for a long time,0.9882352941176471,1
by 2260 researchers will have developed advanced techniques for space exploration,by 2260 researchers eill have developedvadvanced texhniques for spaxe exploration,0.9506172839506173,3
governments will have prioritized digital infrastructure development by 2940,govefnments will have4prioritized digital infrastructufe development by 2940,0.9605263157894737,3
humans will have documented the evolution of social structures in nonhuman primates by 2100,humans eill have documented thefevolution ofgsocial structures in nonhuman primates by 2100,0.967032967032967,2
scientists will have curated comprehensive knowledge graphs from biomedical literature by 2037,scientistsswill4have curated comprehensive knowledge graphs fromzbiomedical literature by 2037,0.9680851063829787,2
companies will have implemented amorphous computing for disaster recovery systems by 2045,companies willmhave implemented5amorphous computing9for disaster recovery systems by 2045,0.9662921348314607,1
by 2250 the government will have been implementing comprehensive healthcare for decades,by 2250 the government will have been implementing comprehensive healthcare for decades,1.0,0
