True Sentence,Predicted Sentence,Accuracy,Wrong syllables
the cat pounced on a toy mouse and played for hours,thecatpouncrdonatoymouseandplayedf0rhours,0.9607843137254902,2
research will focus on the longterm effects of pollution on ecosystems and human health,5eaearchwillf0cusonthelongtermeffextsofpollutiononjcosystemdandhumanhealth,0.9310344827586207,6
they had organized a cleanup crew to remove graffiti from public buildings,thzyhadorganiz4dacleanupcrewtoremovegraffitifromwubliebuildinga,0.9324324324324325,5
they had been lazing by the pool enjoying the warmth of the sun on their skin,theyhadbeenlazingbtthepoolenjoyingthewarmthofthesunontheirskin,0.987012987012987,1
they attended a wine tasting and learned about wine production,theyattendedawinetastingandlearnedaboutwineproduction,1.0,0
vr will have been used for virtual reality exposure therapy,vrwillhavrbeenusedforvirtualrealityexposuretherspy,0.9661016949152542,2
virtual reality therapy applications will cater to individuals with mental health challenges,virtualrealitytherapyapplicationswillxatertoindividualswithmentalhealthchallenges,0.9891304347826086,1
noise pollution will be affecting the quality of life in urban areas,noisepollutionwillbeaffectingthequalityoflifeinurbanareas,1.0,0
they lent money to a friend in need,theylentmoneytoafriendinneed,1.0,0
future generations will be the best,futuregenerationswillbethebeat,0.9714285714285714,1
the government has been implementing measures to address food safety concerns and improve standards,thegovernmenthasbeenimplementingmeasurzstoaddrrssfoodsafetyconcrrnsandimprovestandards,0.9696969696969697,3
he completed a woodworking project and crafted a rocking chair,hecompletedawoodworkibgprojectandcraffedatockingchair,0.9516129032258065,3
the maidens tower in istanbul has a rich history and offers panoramic views of the city,themaidezstow4rinistanbulhasarichhistoryandofferapanoramicviewsofthecity,0.9655172413793104,3
efforts to address environmental issues and promote sustainable development contribute to global peace,effortstoaddressenvironmentalissueaandpromotesustainabledevelopmentcontributetoglobalpeace,0.9901960784313726,1
she had organized a fundraiser to support survivors of domestic violence,shehadorganizrdafundraisertosupportsurvivorsofdomesticviolence,0.9861111111111112,1
the sun had been shining brightly through the window filling the room with warmth,thesunhadbeenahininrbrightlythroughthewindowfillingtheroomwithwarmth,0.9753086419753086,2
he completed a home project and constructed a custom bookshelf,hecomplrtedahomeprojectandx0nstructedacustombookshdlf,0.9354838709677419,4
deep reinforcement learning agents like googles alphazero achieve mastery in multiple games,deepreinforcementlearningagentslikegooglesalphazeroachievemssteryinmultiplegames,0.989010989010989,1
it will be assisting in wildlife tracking and conservation,itwillbeassistinginwildlifetrackingandconservation,1.0,0
by 2110 innovative biofiltration techniques will be widely adopted to purify contaminated water,by2110innovativebiofiltrationtechniqueswillbewidelyadoptedropurifycontamunatedwater,0.9789473684210527,2
birds were flocking together in the evening sky,biedswereflockingtogetherintheeveningsky,0.9787234042553191,1
in a few months i will have been recommending this online learning platform for quite some time,inafewmonthsiwillhavebeenrrcommendingthisonlinelearningplatformforquitzsometime,0.9789473684210527,2
aipowered personal productivity coaches will have been assisting individuals in optimizing their work routines,aipowetedpersonalp4oductivitycoacheswillhavebrenassistingindividualsinoptimizingtheirw0rkroutinrs,0.9545454545454546,5
the shuttlecock sailed over the net and landed squarely in the corner,theshuttlecocksailedovetthenetandlandrdsquarelyinthecorner,0.9710144927536232,2
women engineers have been instrumental in designing sustainable transportation systems,womenengineershavrbeeninstrumentalindes9fningsustainabletsansportationsystems,0.9534883720930233,4
the pyramids construction required thousands of laborers,thepyramidsconstructionrequiredrhousandsoflaborers,0.9821428571428571,1
the rain stopped and the sun peeked through the clouds,therainstoppedandthesunpeekedthroughtheclouds,1.0,0
he learned to ski during the winter vacation,heleaenedtoskiduringthewintervacation,0.9772727272727273,1
countries have invested in research to improve the efficiency of hydropower systems,counfrieshaveinveatedinresearchtoimprovetheefficiencyofhydropowersystems,0.9759036144578314,2
she will become a teacher,shewillbecomeateacher,1.0,0
they will lead with determination,theywillleadwithdrtermination,0.9696969696969697,1
