True Sentence,Predicted Sentence,Accuracy,Wrong syllables
by 2480 genetic engineers will have created organisms capable of surviving in space without life support,by 2480 irnericczngineers w8ll have crwated organisms napable of surviving in spaos wifhout0life support,0.8846153846153846,4
by 2510 the local government will have been investing in green infrastructure for generations,by 2510 5hd local9government will hqvw beqn investing in green infrawtructure for generstions,0.9139784946236559,4
fully automated factories will have become the standard by 2040,fully aufomalwd factories wiml have beco3ekthr standard vu 2040,0.8571428571428571,4
researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,researchers will have unlocked new insiihts info cognrtive vompuring with 2morphous4compuring by 2049,0.9207920792079208,2
by 2210 education will have been a seamless blend of physical and virtual realities,by 2210 eduxation will have bsen a sdamless blend 0f physidal amd virtual r4alities,0.9156626506024096,5
companies will have adopted amorphous computing solutions across industries by 2032,c0mpaniss will havz adopted nmorphous computing solufionw across industries by 2032,0.927710843373494,4
by 2045 the healthcare industry will have been leveraging interoperable information for over three decades,by 2045 the healthnare industry will havf beem lrvefaiing inteioiegable information for over ghrse decades,0.8962264150943396,3
by 2650 digital literacy will have become universal bridging the digital gap,by 2650 digitalclitstacy will havs become universal bridging uie digital gap,0.9210526315789473,3
by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,by 2048 smart grid texhnologiss will gave bsen optimizing energy distribution theough daradsiven information interoperability for thirty yeaos,0.9436619718309859,4
communities will have embraced digital technology as a catalyst for progress by 2470,commun5ties will havq embraced figital technology as a catalystsfor progress5by 2470,0.9404761904761905,4
