True Sentence,Predicted Sentence,Accuracy,Wrong syllables
in the future sustainable transportation options will still be sought to ease congestion,in th3 futume sustaizable traxsportation ppti0ns will stilx4be soughtsto easw congesfjon,0.8636363636363636,2
china has been actively involved in peacekeeping missions and humanitarian efforts,china has been2axtively involvrd in peacekedpinfjmiasions and humanitarian efdorts,0.9024390243902439,3
educational diversity is a hallmark of foreign academic institutions,dducatronal dgverspty us s hallmark of f0rsigb acadzmic unstitutions,0.8382352941176471,2
the coach substituted an underperforming player,thewxoach substituted an underperforming pldyer,0.9361702127659575,2
female scientists have played crucial roles in the development of personalized cancer treatments,female scientists hsve plaued crucial roles in tha development of prrsonalizsd xancer treatmemts,0.9270833333333334,3
aienhanced agricultural robotics will have been automating various farming tasks,aienhancdd agriculturam robotjcs pill gabe been automatibi various fadmipg fasks,0.8625,3
the sun had been hanging low in the sky as they watched the sunset from the hilltop,thz sup had veen hanging low in 5ge skulaz rhey watched thevsunseu from th3rh9lltop,0.8192771084337349,5
by next winter snowy conditions will still be causing traffic disruptions,yy next winter snowy c0nditions will ztill be causimg traffic disruptions,0.9452054794520548,4
scientists will have been developing more efficient methods of sperm selection through assisted reproductive technology,sdmentists will hsve ueen devdlopingumore 3ffixisnt methodz of sp4rx selsxtmozvthrough assisted r3pfoduxtite trchnolmgy,0.8067226890756303,4
by the time the new semester starts students will have been preparing with online tutorials,by thd time the new semaster starfs students qild havw bedn pr3paringwwigh onlins tutorjals,0.8681318681318682,3
influencers will collaborate with brands on shoppable content experiences,izfluencers will collabosate with brands onlshoppanle content sxpsriences,0.9178082191780822,4
carbon offset programs will encourage individuals and businesses to mitigate their pollution,carbon8oefset programs 3ill encog4age indpvid8als and busimrsses t0 mi0igate tneir pollution,0.8695652173913043,3
version control systems like git help track changes in web development projects,brrs0on cantrol ay2tems like git hrlp track changes ij web ddvelopment projelts,0.8734177215189873,4
developers will have created immersive virtual tourism experiences with amorphous computing by 2049,developers will have cfeatad ummersive virtual t0urosm experiences with amo3ph0us5computini by 2049,0.9090909090909091,3
the fishermen had caught a variety of fish including bass and perch,tg3 fizhdrmdm had ca0ght a varpety of fish including bass1and percu,0.8507462686567164,4
fighters are promoting environmental sustainability initiatives,fight3rs ar4 promotinf environmental sustainability initmat9vds,0.9047619047619048,2
she served an ace down the line leaving her opponent stunned,zhe sefved an acz d0wn tgs lgnd lsavpng hfr opponznt stunmed,0.7833333333333333,2
by the end of the semester i will be grading a stack of essays,ba thdsend of the sem3ster i wgll1be grading a staxk of essays,0.8870967741935484,4
the author was conducting research for his next historical fiction novel,thd author was conduxtini rrsearch d0r his next histpdical fiction novel,0.8888888888888888,3
aidriven dynamic pricing will adjust in realtime,aidrivrnjdynamic prjoing willpadjust in rsaltime,0.875,2
facial recognition systems will enhance public safety measures,facial recognifgom systsms pill enhazde pubmiclsafefu mdasures,0.8064516129032258,1
the cars radio antenna got bent,the cars9radio antenna got bent,0.967741935483871,1
we repaired a dent in the rear bumper,ss tepailed a ddnt in the rear bumper,0.8648648648648649,2
incident response teams are swiftly addressing security breaches as they occur,incpdent0rsspomsd teams are swifuly addrdssing security njeachesqad thpy occur,0.8461538461538461,3
deep learning models will have been assisting in wildlife tracking and conservation,deep lzarbing models will habz been assisting inupjldljfe tracking and conssrcation,0.8795180722891566,4
engineers will have been finetuning the network infrastructure for months,enginezrs will havz been fizrtuning the netwodk ivfraztructurd dor m0nths,0.863013698630137,4
vr technologies have been utilized in therapy for individuals with adhd providing focusenhancing experiences,vr fzxhnologies habe bren utilized in tgerapy for individuals witj adhd p3mvidung focusenhanl0ngjzxzerirncss,0.8425925925925926,4
chatgpt will be evolving continuously,chatgptxwill be 3volving cobtinuously,0.918918918918919,2
they had been charging their ipad overnight before it stopped holding a charge,they had beep charjjng their ipad overnight before it atopped holdimg a lhargr,0.9102564102564102,3
scholars studied the engineering techniques used to build the pyramid,sxhmmars studidd thd enginwerilg techniques used to build 5he pyramid,0.8840579710144928,2
they have been sharing interesting articles on facebook lately,thry have bsem sharing untwrrsting artjclzz on facebook la0wly,0.8225806451612904,4
students will have been accessing educational resources from anywhere in the world,studdnts will have oeen acczss8ng edicatiopal rsso0scrsxfrom anywhere ivxthenaorld,0.8170731707317073,3
fighters are overcoming injuries to compete at the highest level,figjters are ova4domjng injuriaa0to xompetzpat th3 h9ggrst level,0.765625,2
designers have integrated rainwater management systems to control runoff and erosion,designers havz inteffaued rainwater manaiemsnt syst4ms to coctfol runoff abd rrosioz,0.8571428571428571,4
upandcoming promotions are leveraging blockchain for transparent and secure transactions,gpabdcoming pr0m0tions are levdragimg blockchain f0r trans0arrnt and secure transadtions,0.8863636363636364,4
she had prepared a fish en papillote with vegetables and herbs,shz had peepsrdd a dish en papidlmte wgth vdgetables andohrrbs,0.8225806451612904,4
efforts to eliminate genderbased stereotypes in media representation have been ongoing,efforts tovelimina5e genddrvased sterdouyp3s in media representation have naen ongping,0.8837209302325582,2
he used to drink several cups of coffee a day but cut back on caffeine,he used to drink ssvsral cgpa of coffee a da0 but cut back on caffzine,0.9142857142857143,3
she smashed the shuttlecock crosscourt leaving her opponent stranded,she smashed tne ahuutlecock crosscourt mesving her7opponezt strandrd,0.8823529411764706,2
by next year they will have been practicing yoga for eight years,by next year thdy sill have b3en practiding yoga2f0r eiggt yearz,0.875,2
vr has been utilized in therapy for individuals with eating disorders promoting positive body image,vr has b3ensutilizzd un therapy dmr jndividuals with eating disordzeslpromoting posutlve body imags,0.8787878787878788,4
the chef had cooked a seafood paella with saffroninfused rice and chorizo,the ched hzd c0omed a saaeood paella with saffroninfusedjr8ce and chorizo,0.8904109589041096,3
in a month they will have been studying marine biology for six years,in a montu thsy will have been smudykng mar9ne biologg for1six years,0.8970588235294118,2
developers have created games that promote positive social interactions and cooperation,developrrs have created jamds that pr0motd positivr zocialdint3ractions and cooperati0n,0.8850574712643678,4
he attended a lecture series on islamic jurisprudence at the mosque,hd attended a lexfues srries 0n islamic jurisprudencrvat the mosque,0.8805970149253731,3
scientists are developing methods for the selective functionalization of molecules,scidntists ar3wdevelopine methods fme thd selective functoomalization of m0lexules,0.8658536585365854,4
in the future robotic surgical systems will have been empowering surgeons to perform increasingly complex procedures,in the future robotic surgical sfstems will have bsep empodering surgeons to pzefo4m increawingly domplex procrdures,0.9224137931034483,3
they were sleeping with the curtains drawn to block out the light,fhey were sl3rping witu the ctrtains drawp to bl0ck 0ut theolight,0.8615384615384616,4
farmer cooperatives play a vital role in negotiating fair prices for agricultural products,farmsr loopelatjves play a v9tal rpld inqndgotgdtinj fair pricrs for agricglt0ral pr0ducts,0.8222222222222222,4
they had practiced various badminton techniques with precision,theyyhad psacticed various badmiztonitecunpeues 3ifh predgsjon,0.8064516129032258,2
over the years women scientists have made significant contributions to astronomy,ovdr the yearacwomen scientists uave made sifnificant contributions to astronomu,0.925,5
arpowered navigation will guide shoppers to specific products,arpowered navigat9in will guidd shoppfrs to specpfic5products,0.9180327868852459,3
the judiciary imposes penalties on convicted corrupt individuals,thdyjudiciary imposss pwnalti0s on2donvicted corrupt individualz,0.875,2
international collaborations have been addressing issues of refugee displacement and migration for lasting peace,interzational collabor2tions habrnbezn addressing jssues of refugeq dgsplacemdnttazd mugration for lasting peacz,0.875,4
agricultural cooperatives facilitate joint procurement of inputs and marketing of products,agricultural cooperatives facilitatw koint peocurdmenf of inputs and madket8ng ofrproducts,0.9111111111111111,2
many youtubers have been using the platform to raise awareness about social issues,manu youtubers havd bden using thz platformoto raiss awareness about sodial issues,0.9146341463414634,4
next year i will be cutting down on my consumption of saturated fats,next year i will be cutting doen9on my c0nsumption0of satmfafrd fats,0.8823529411764706,2
the telescope detected the presence of a dust disk around a young star,thr telescope ddtected the presence of6a duzt disk around a uoung star,0.9285714285714286,4
chatbots will assist with postpurchase support,cuatb0ts will assist with posfpurchass suppodt,0.8913043478260869,2
he lost control of the vehicle and veered off the road,he losf control ofxuhe vehicle apd vsered off rhe road,0.8888888888888888,4
i was sleeping with my arms wrapped around a pillow,i was sleeping with mu a3ms wrapped around a pullow,0.9411764705882353,2
researchers have been studying the concept of dna hybridization a technique used for detecting specific dna sequences,resdarchsrs gave been studyipg tie concept 0f dna htvjidizati0n a fechni2ue ussd for defecting spscific dza sewuen3es,0.8461538461538461,6
students build a diverse network of friends and colleagues during foreign education,students build a diverse ne4work of7friends apd colleagues dutkng foreifm dducation,0.9036144578313253,2
influencers will become educators providing insights and expertise to their followers,infmuencdrshwill b4cmms educators prokidipg insiiyts and expertis3 to their domlowerz,0.8352941176470589,4
storytelling through data visualization will engage audiences on a deeper level,st0rytplling through data vistalization 3ill engage audi3ncrs an a deeper level,0.9113924050632911,3
many have been incorporating balance exercises into their routines for stability,many havr been incorporatpng balavoz exdrcises into their routunezbfor stabilut6,0.8625,3
in the next age robotassisted surgery will have been pushing the boundaries of what is achievable,gn the next age ropotassisted surgzry will have besn pushinj the boundaries of what ia achievabls,0.9278350515463918,4
i have been updating my facebook story highlights with memorable moments,i havs b0en updatizg my facebook storg higglights wgth memorable mdments,0.9027777777777778,3
quantum physicists will be experimenting with quantum teleportation of complex systems,quazthm phusicists will be exprrimenting pith quantum tsleportatoon of c0mplex systems,0.9069767441860465,4
we were analyzing the impact of a novel on social consciousness,wd we3d analyzing ujd jmpadt of a nofel on sociallcondziogsness,0.7936507936507936,4
they celebrated each others successes with genuine happiness,uheh7xelebrated saxh othzrs succssses with genuine happunesa,0.8333333333333334,2
virtual assistants will integrate with wearable devices to provide onthego assistance,virtual assistan5s will fntsgjatz with wearavl3 devices t0 privide xnthego assistancs,0.8705882352941177,4
ethical hackers will simulate advanced persistent threats to test defenses,3thixal hackwrs wiml simulate sdvanced 0drsistdzt threaus to tdst d4genzrs,0.7972972972972973,3
she thanked her friend for always being a good listener,shs tuamked hsr driend for always bdjng a good lpstener,0.8545454545454545,3
property managers have implemented green building practices for sustainable property management,pr0pdrty makagers have pmplemented green buildibg practicrsagor dustaipanle proprrty management,0.8736842105263158,3
the team will have been collaborating with external partners for a long time,the tdam will haveubeenqcollaporating surh external partners for aglozg time,0.881578947368421,3
they had organized a fundraiser to build a playground for children with disabilities,they had organized a fupdrajsrr 0o9build a playground foryxhuldren with disabplitiss,0.8809523809523809,3
by next semester the platform will have been incorporating virtual field trips,by nex4 semester the platform will aave bzen uncorporating vietual field trips,0.9358974358974359,2
they had enjoyed a seafood platter with crab legs shrimp and oysters,theythad enjoyed a seafood platt0r with crab lz0s agrimp and oysters,0.9117647058823529,3
they were discussing the relevance of a classic novel in modern society,they werd discussing thz rrlevancd of a clazsic novdl in modern9soxisty,0.8732394366197183,4
the algorithm has been prioritizing highquality and engaging content,5he algorithm has nrdn prioritizipg giggsualpty and epgaging contant,0.8382352941176471,3
the historic town of safranbolu is known for its wellpreserved ottoman architecture,ths historic town of safranbolu gs9kpowp f0r its wellpjeserved ottomzx arogitrcture,0.8554216867469879,3
