True Sentence,Predicted Sentence,Accuracy,Wrong syllables
in the future sustainable transportation options will still be sought to ease congestion,in the future sustainable transportation options will sgill9be sought to ease congestion,0.9772727272727273,1
china has been actively involved in peacekeeping missions and humanitarian efforts,china has been actively involved in peacekeeping missions andihumanigariah1efforts,0.9512195121951219,1
educational diversity is a hallmark of foreign academic institutions,educational diversity is amhallmark ofvforeign academic institutions,0.9705882352941176,1
the coach substituted an underperforming player,the coach substituted1an underperforming player,0.9787234042553191,1
female scientists have played crucial roles in the development of personalized cancer treatments,female scientists have4played crucial roles in the development of personalized cancer treatments,0.9895833333333334,1
aienhanced agricultural robotics will have been automating various farming tasks,aiemhanced agricultural robotics will haveobeen automating various farmimg tasks,0.9625,3
the sun had been hanging low in the sky as they watched the sunset from the hilltop,the sun had been hangingolow in the sky asdthey watched the sunset from the hilltop,0.9759036144578314,2
by next winter snowy conditions will still be causing traffic disruptions,by0nextewinter snowy conditions will stillgbe causingjtraffic disruptions,0.9452054794520548,2
scientists will have been developing more efficient methods of sperm selection through assisted reproductive technology,scientists will have been developing moreuefficient methods of sperm selection through assisted reproductive technology,0.9915966386554622,1
by the time the new semester starts students will have been preparing with online tutorials,by7the time the new7semester starts students will have been preparing with online tutorials,0.978021978021978,2
influencers will collaborate with brands on shoppable content experiences,influencers willlcollaborate with nrands on shoppable content experiences,0.9726027397260274,2
carbon offset programs will encourage individuals and businesses to mitigate their pollution,carbon offset programs will ehcourage individuals and businesses to mitigateetheir pollution,0.9782608695652174,2
version control systems like git help track changes in web development projects,version control systems like git help track changeszin web developmeht projects,0.9746835443037974,2
developers will have created immersive virtual tourism experiences with amorphous computing by 2049,developers willshave created immersive virtualutourism experiences with amorphous computinggny 2049,0.9595959595959596,3
the fishermen had caught a variety of fish including bass and perch,the fishermen had xaught a variety3of fish including bass andaperch,0.9552238805970149,3
fighters are promoting environmental sustainability initiatives,fighters are promoting environmental sustainability initiatives,1.0,0
she served an ace down the line leaving her opponent stunned,she served an ace down the line leaving her opponent stunned,1.0,0
by the end of the semester i will be grading a stack of essays,byfthe endiof the semester i will be grading a stack of essays,0.967741935483871,1
the author was conducting research for his next historical fiction novel,the author wasrconductingbresearch for his next historical fiction novel,0.9722222222222222,1
aidriven dynamic pricing will adjust in realtime,aidriven dynamic pricing will adjust im realtime,0.9791666666666666,1
facial recognition systems will enhance public safety measures,facial recogmitiom systems will enhance public safety measures,0.967741935483871,1
the cars radio antenna got bent,the cars radio ahtenna got bent,0.967741935483871,1
we repaired a dent in the rear bumper,we repaired a dent in the rear bumper,1.0,0
