True Sentence,Predicted Sentence,Accuracy,Wrong syllables,LLM Sentence,LLM Accuracy,LLM Wrong syllables
by 2480 genetic engineers will have created organisms capable of surviving in space without life support,by 4480 gebetix ebgimeersywill have x4eated organisas xapable ofes85viv8ng 8n apace withput life suppo5t,0.8269230769230769,3,4480 genetic engineers will have created organisms capable of surviving in space without life support,0.975609756097561,1
by 2510 the local government will have been investing in green infrastructure for generations,by s5s0 the loxa0 goveemnent w8ll have beebpibaestibg im g5eeb ibf5astfuct84e 5pf gebe5atiobs,0.7311827956989247,3,s5s0,0.041237113402061855,1
fully automated factories will have become the standard by 2040,fu0l6 autoaated factpriea will have becpme the stabeard by e030,0.8412698412698413,4,fu0l6 autoaated factpriea will have becpme the stabeard by e030,0.8412698412698413,4
researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,5eseafche5s will have ublocked new ibaithta intogxogbitive xonputibg with aao5phpua cpmputing by e048,0.7920792079207921,5,5eseafche5s will have unlocked new artificial intelligence computing systems with advanced computing capabilities,0.6448598130841121,5
by 2210 education will have been a seamless blend of physical and virtual realities,by d4s0 ee8catiobqwilljhave beem a seamleaa b0end pfnphysical7abe v8rtual 5ealities,0.7710843373493976,2,d0e8catiobqwilljhave beem a seamleaa b0end pfnphysical7abe v8rtual 5ealities,0.7547169811320755,2
companies will have adopted amorphous computing solutions across industries by 2032,xoapabies willthave adopted ampfpho8skcpmputing aol8tipns axfoss ibeuat5ies b6 e03s,0.7469879518072289,2,xoapabies willthave adopted ambitious plans for improving accessibility and equity in education,0.4943820224719101,2
by 2045 the healthcare industry will have been leveraging interoperable information for over three decades,by 3045 the healthca4e industf6 will have been leae5ag8bt0ibte4ope5ab0e ib5o5mation 5ofzove5 th5ee dexades,0.7830188679245284,3,by 3045 the healthcare industry will have been alleviated of disease prevention and treatment options,0.6570048309178744,2
by 2650 digital literacy will have become universal bridging the digital gap,by 3650 digital litefacy wil0 have become ub8ve5sal b5ixt8bg the digital gap,0.8552631578947368,3,by 3650 digital litefacy will0 have become ub8ve5sal beyond the digital gap,0.8609271523178808,3
by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,by 2048 aaa5t g5id techmologiea wi0l haae beeb opt8micint ebe5gynxistfibut8pm th5outh datadriaeb ibfoeaatiob ibte4ope5ability fo4 thifty yeara,0.7605633802816901,1,by 2048 artificial intelligence will have been optimized for datadriven intelligence in the next 4 years,0.5853658536585366,3
communities will have embraced digital technology as a catalyst for progress by 2470,xomnubities wil0 have embfacex dig8tal texhnoloty as a xatalyst foe p5pgress by 4470,0.8333333333333334,4,xomnubities wil0 have become a catalyst for progress by 4470,0.7361111111111112,3
by 2040 elm will have become a mainstream choice for building frontend web applications,by 4040 elm sill have become a naibsteean xhoixe for bui0eibg feobtemduseb applicatioba,0.7931034482758621,4,by 4040 elm sirens have become a nuisance for building codes application,0.7421383647798742,4
by 2050 artificial intelligence will have been continuously evolving for several decades,b6 s050 a5tif8xial intel08geb9e will haae been cobtinuo8s0y evolvint foenaevefal de9aees,0.7727272727272727,3,b6 s050 a5tif8xial intel08geb9e will haae been cobtinuo8s0y evolvint foenaevefal de9aees,0.7727272727272727,3
by 2049 amorphous computing will have facilitated breakthroughs in neurotechnology,by 2048 aapfphous computibt will have 5a9i0itated breaktheoughsvib beueotexhbolpgy,0.7804878048780488,2,by 2048 artificial intelligence will have successfully broken through the boundaries of vision,0.4659090909090909,2
by 2130 aipowered education systems will have been tailored to each students learning style,b6 2s30 aipowefed edu9atiom syatems wi0l haae beeb tailofed to eaxh stueebta leafnibgzatyle,0.8021978021978022,2,b6 2s30 aipowefed edu9atiom syatems wi0l haae beeb tailofed to eaxh stueebta leafnibgzatyle,0.8021978021978022,2
researchers will have employed continual learning techniques to adapt biomedical text mining models over time by 2043,feseafxhe4s willmhave emplpyee comtibual leafbibg techbiques tp aeapt bionedical text mimibg moxels ovef tine by e043,0.811965811965812,3,feseafxhe4s willmhave emplpyee comtibual leafbibg techbiques tp aeapt bionedical text mimibg moxels ovef tine by e043,0.811965811965812,3
by 2950 every individual will have equal opportunities in the digital realm,b66d850 eve56 8bxivixual will haveeequal oppprtunities im the digital 5ealm,0.8133333333333334,3,b66d850 eve56 8bxivixual will haveeequal opprtunities in the digital ealm,0.8378378378378378,3
quantum computing will have decrypted complex codes by 2040,quantum 9omputing will have ee9fyptedwcomplex codes b6 4040,0.8813559322033898,3,4040 efficient computing codes,0.4044943820224719,3
by 2220 floating cities will utilize innovative filtration systems to sustain clean water supplies,by e320 5loating cities w8ll utilicebibbovativetfiltfat8ob systems to sustaib clean sate5 suppl8ea,0.826530612244898,4,e320 floating cities will utilize basic but efficient filtration systems to sustain clean water supplies,0.8514851485148515,2
by 2220 ai will have been deeply integrated into the fabric of education,by 32e0 ai will have beeb deeply ibteg4atee ibto the 5ab48x of education,0.8472222222222222,4,by 32e0 artificial intelligence will have become deeply invested in the future of education,0.7239263803680982,4
by 2050 3d printing technology will have advanced to the point of printing fully functional human organs,by e050 3d pr8ntibg techmology sill have axvabxed to the ppibt of pfibtimt 5u00y fubctiobal h8nabaofgabs,0.7596153846153846,5,by 850 3d print technology will have accelerated the pace of innovation in the field of physics,0.5829145728643216,5
efforts to close the digital gap will have borne fruit by 2060,ef5ofts2to x0ose the digital gap wil0 have borme fe8it by 3060,0.8387096774193549,4,ef5ofts2to x0ose the digital gap wil0 have been formed by 3060,0.7741935483870968,4
