True Sentence,Predicted Sentence,Accuracy,Wrong syllables,LLM Sentence,LLM Accuracy,LLM Wrong syllables
the government will be investing in infrastructure to prevent sewage from polluting waterways,the?government?will?be?investing?in?infrastructure?to?prevent?sewage?from?polluting?waterways,1.0,0,the government will be investing in infrastructure to prevent sewage from polluting waterways,1.0,0
cosmologists will be studying the evolution of the cosmic microwave background,xosmologists?will?be?studying?the?evolution?of?the?cosmic?microwave?background,0.9871794871794872,1,xosmologists will be studying the evolution of the cosmic microwave background,0.9871794871794872,1
predictive analytics will drive the development of anticipatory visualizations,predictive?amalytics?will?drive?the?denelopment?of?anticipatory?visualizations,0.9743589743589745,2,predictive analytics will drive the development of anticipatory visualizations,1.0,0
fashion houses have embraced the use of sustainable alternatives to traditional fur,fashionwhouses?have?embraced?the?use?of?sustainable?alternatives?to?traditional?fur,0.9879518072289156,1,fashion houses have embraced the use of sustainable alternatives to traditional fur,1.0,0
they were rearended by a distracted driver,they?were?rearended?by?a?distracted?driver,1.0,0,they were rearended by a distracted driver,1.0,0
by 2180 climate scientists will have stabilized global temperatures,by?2180?climate?scientists?will?have?stanilized?glonal?temperatures,0.9701492537313432,2,by 2180 climate scientists will have stanilized glonal temperatures,0.9701492537313433,1
governance reforms and political initiatives will impact population growth rates by addressing systemic issues promoting human rights and fostering social cohesion and inclusivity,governance?reforms?and?politixal?initiatives?will?impact?population?growth?rages?by?addressing?systemix?issues?promoting?human?rights?and?fostering?social?cohesion?and?inclusivity,0.9832402234636872,3,governance reforms and political initiatives will impact population growth by addressing systemic issues promoting human rights and fostering social cohesion and inclusivity,0.9829545454545454,1
in the coming years population growth will be worsening traffic jams,in?the?xoming?years?population?growth?will?be?worsening?traffic?jams,0.9852941176470588,1,in the coming years population growth will be worsening traffic jams,1.0,0
unsupervised learning explores patterns and relationships in unlabeled datasets,unsupervised?learning?explores?patterns?and?relationships?in?unlabeled?datasets,1.0,0,unsupervised learning explores patterns and relationships in unlabeled datasets,1.0,0
we visited a vineyard and sampled different wines,we?visited?a?vineyard?and?sampled?different?wines,1.0,0,we visited a vineyard and sampled different wines,1.0,0
many individuals have been incorporating reading into their wellness routines recognizing its positive impact on stress reduction,many?individuals?have?been?inxorporating?reading?into?their?wellness?routines?rexognizing?its?positive?impact?on?stress?reduction,0.9844961240310076,2,many individuals have been incorporating reading into their wellness routines recognizing its positive impact on stress reduction,1.0,0
users will have access to a feature for scheduling appointments with professionals,users?will?have?access?to?a?feature?for?scheduling3appoingments?with?professionals,0.975609756097561,2,users will have access to a feature for scheduling appointments with professionals,1.0,0
researchers are evaluating the security of identity and access management systems,researchers?are?evaluating?the?security?of?identity?and?axcess?management?systems,0.9876543209876544,1,researchers are evaluating the security of identity and access management systems,1.0,0
in the future smart assistants will assist with pet training and behavior tips,in?the?future?smart?assistants?will?assist?with?pet?training?and?behavior?tips,1.0,0,in the future smart assistants will assist with pet training and behavior tips,1.0,0
the pyramids construction was a source of national pride for ancient egyptians,the?pyramids?construction?was?a?source?of?national?pride?for?ancient?egyptians,1.0,0,the pyramids construction was a source of national pride for ancient egyptians,1.0,0
standardized tests measure basic skills but may not capture a students full potential,standardized?tests?measure?basic?skills?but?may?not?capture?a?students?full?potential,1.0,0,standardized tests measure basic skills but may not capture a students full potential,1.0,0
by 2044 automated questionanswering systems will have extracted knowledge from biomedical texts,bys2044?automated?questiomanswering?systems?will?have?extracted?knowledge?from?biomedical?texts,0.9789473684210528,2,by2044 automated question answering systems will have extracted knowledge from biomedical texts,0.9894736842105263,2
in the far future biologists will have engineered new forms of life,in?the?far?future?niologists?will9have?engineeredwnew?forms?of?life,0.9552238805970148,3,in the far future niologists will have engineered new forms of life,0.9850746268656716,1
she had admired the moons beauty before the clouds covered it,she?had?admired?the?moons?neauty?before?the?clouds?covered?it,0.9836065573770492,1,she had admired the moons beauty before the clouds covered it,1.0,0
a trail of condensation stretches behind a highflying airplane in the sky,a?trail?of?condensation?stretxhes?behind?a?highflying?airplane?in?the?sky,0.9863013698630136,1,a trail of condensation stretches behind a highflying airplane in the sky,1.0,0
they will lead with compassion,they?will?lead?with?compassion,1.0,0,they will lead with compassion,1.0,0
governments will have enacted policies to ensure equitable digital access by 2860,governments?will?have?enacted?policies?to?ensure?equitable?digital?access?by?2760,0.9876543209876544,1,governments will have enacted policies to ensure equitable digital access by 2760,0.9876543209876543,1
it will be providing valuable insights,it?will?be?providing?valuable?insights,1.0,0,it will be providing valuable insights,1.0,0
sustainable construction initiatives have promoted the use of permeable surfaces for landscaping,sustainable?construxtion?initiatives?have?promoted?the?use?of?permeable?surfaces?for?landscaping,0.9895833333333334,1,sustainable construction initiatives have promoted the use of permeable surfaces for landscaping,1.0,0
continuous readers have been venturing into the realm of fantasy and science fiction nurturing creativity and imagination,continuous?readers?have?been?venturing?intovthe?realm?of?fantasy?abd?scienxe?fiction?nurturing?creagivity?and?imagination,0.9669421487603306,4,continuous readers have been venturing into the realm of fantasy and science fiction nurturing creativity and imagination,1.0,0
egyptologists deciphered the meaning of hieroglyphs found inside the pyramid,egyptologisgs?deciphered?the?meaning?of3hieroglyphs?found?inside?the?pyramid,0.9736842105263158,2,egyptologists deciphered the meaning of 3 hieroglyphs found inside the pyramid,0.987012987012987,1
property managers have implemented contactless leasing processes for tenant safety,property?managers?have?implemented?xontactless?leasing?proxesses?for?tenant?safety,0.975609756097561,2,property managers have implemented contactless leasing processes for tenant safety,1.0,0
future bangladesh upholds democratic values,future?nangladesh?upholds?democratic?nalues,0.9534883720930232,2,future bangladesh upholds democratic laws,0.9285714285714286,1
ethical hackers will specialize in specific areas such as cloud security or iot,ethical?haxkers?will?specialize?in?spexific?areas?such?as?cloud?sexurity?or?iot,0.9620253164556962,3,ethical hackers will specialize in specific areas such as cloud security or iot,1.0,0
researchers are investigating the mechanisms of drug delivery in the body,researchers?are?investigating?the?mexhanisms?of?drug?delivery?in?the?nody,0.9726027397260274,2,researchers are investigating the mechanisms of drug delivery in the node,0.9726027397260274,1
future bangladesh will uphold liberation ideals,future?bangladesh?will?uphold?liberation?ideals,1.0,0,future of bangladesh will uphold liberation ideals,0.9690721649484536,1
foreign universities prioritize a studentcentered approach to education,foreign?uninersities?prioritize?a0studentcentered?approach?to?eduxation,0.9577464788732394,3,foreign universities prioritize a studentcentered approach to education,1.0,0
they used to eat dinner late at night but changed to an earlier schedule,they?used?to?eag?dinner?late9at?night?but?changed?to?an?earlier?sxhedule,0.9583333333333334,3,they used to eat dinner late at night but changed to an earlier schedule,1.0,0
we went on a hiking trip and explored hidden caves in the mountains,we?went?on?a?hiking?trip2and?explored?hidden?canes?in?the?moungains,0.9552238805970148,3,we went on a hiking trip and explored hidden canyons in the mountains,0.9558823529411765,1
he studied the lives of prominent islamic scholars,he?studied?the?lives?of?prominent?islamic?scholars,1.0,0,he studied the lives of prominent islamic scholars,1.0,0
by 2030 rust will have become a dominant force in systems programming,ny?2030?rust?will?have?become?a?dominant?forxe?in?systems?programming,0.9710144927536232,2,ny 2030 rust will have become a dominant force in systems programming,0.9855072463768116,1
by 2040 javascript will have remained vital for both frontend and backend development,by?2040?javascripg8will7have?remained?vital?forxboth?frontend?and?backend?development,0.9529411764705882,4,by 2040 javascript 8 will 7 have remained vital for x both frontend and backend development,0.9659090909090909,3
biomedical text mining will have contributed to precision medicine initiatives by 2038,biomedical?text?mining?will?have?xontributed?to?precision?medicine?initiatives?by?2038,0.9883720930232558,1,biomedical text mining will have contributed to precision medicine initiatives by 2038,1.0,0
the sky was awash with the colors of dawn,the?sky?was?awash?with?the?colors?of?dawn,1.0,0,the sky was awash with the colors of dawn,1.0,0
life presents a constant stream of decisions big and small,life?presents?a?xonstantesgream?of?decisions?big?and?small,0.9482758620689656,3,life presents a constant stream of decisions big and small,1.0,0
we were browsing through a collection of essays for inspiration,we?were?browsing?through?a?collection?of?essays?for?inspiration,1.0,0,we were browsing through a collection of essays for inspiration,1.0,0
fighters are navigating the challenges of balancing fame and privacy,fighters?are?navigating?the?challenges?of?nalancing?fame?and?privaxy,0.9705882352941176,2,fighters are navigating the challenges of nancing fame and privacy,0.9701492537313433,1
ai will have been contributing to advancements in space exploration and research,ai?will?have?been?contrinuting?to?advancements?in?space?exploration?and?research,0.9875,1,ai will have been contributing to advancements in space exploration and research,1.0,0
chinese students have been pursuing education abroad contributing to global diversity,chinese?studentsahave?been?pursuing?education?abroad?xontributing?to?global?diversity,0.976470588235294,2,chinese students have been pursuing education abroad contributing to global diversity,1.0,0
she bowled an inswinging yorker to rattle the stumps,she?bowled?an?inswibging?yorker?to?rattle?the?stumps,0.9807692307692308,1,she bowled an inspiring yorker to rattle the stumps,0.9514563106796117,1
my history professor uses interactive games to teach complex topics,my?history?professor?uses?interactive?games?to?teaxh6complex?topics,0.9701492537313432,2,my history professor uses interactive games to teach complex topics,1.0,0
with a wet nose nudge the labrador begs for a scratch behind the ears,with?a?wet?nose?nudge?the?labrador?begs?for?a?scratch?behind?the?ears,1.0,0,with a wet nose nudge the labrador begs for a scratch behind the ears,1.0,0
food scientists are researching innovative packaging solutions to reduce environmental impact,food?scientists?are?researching?innonative?packaging?solutions?to?reduce?environmental?impact,0.989247311827957,1,food scientists are researching innovative packaging solutions to reduce environmental impact,1.0,0
they hiked through the forest last summer,they?hiked?through?the?forest?last?summer,1.0,0,they hiked through the forest last summer,1.0,0
residents will be organizing protests against noise pollution,residents?will?be4organizing?protests?against?noise?pollution,0.9836065573770492,1,residents will be organizing protests against noise pollution,1.0,0
the platform has been partnering with gaming communities for exclusive content,the?platform?has?been?partmering?with?gaming?communities?for?exclusive?content,0.9871794871794872,1,the platform has been partnering with gaming communities for exclusive content,1.0,0
