True Sentence,Predicted Sentence,Accuracy,Wrong syllables
in the future sustainable transportation options will still be sought to ease congestion,8b the 5utufe sustaiba8pe t5ans8o5tatipn pptipns will st8llxbe soughtktp eaae cpngestion,0.7840909090909091,3
china has been actively involved in peacekeeping missions and humanitarian efforts,xhina haa been actively 8nvopved in peaxekee8ing misaions and humabitafiab ef5pfta,0.8414634146341463,4
educational diversity is a hallmark of foreign academic institutions,exucat8pnal xivefaity is a halpmafk o5mfpfeign academic ibatitutipbs,0.7794117647058824,3
the coach substituted an underperforming player,the coach substituted an uneerperfofmibg playef,0.9148936170212766,1
female scientists have played crucial roles in the development of personalized cancer treatments,female sciebt8sts have playex cfucialg5oles in the xevelopment of personalicee cancer tfeatments,0.8958333333333334,5
aienhanced agricultural robotics will have been automating various farming tasks,aienhanced agficultufal fo8otica will habe beeb0automatinghvarious fa5ming taaks,0.8625,2
the sun had been hanging low in the sky as they watched the sunset from the hilltop,the sub had 8een hang8ng low in the sly aa they watched the subset from the hilqtop,0.9156626506024096,5
by next winter snowy conditions will still be causing traffic disruptions,bu next wintef snowy cpne8t8ons will still be causing trafficuxiafuptipns,0.8493150684931506,4
scientists will have been developing more efficient methods of sperm selection through assisted reproductive technology,axientiatsowipl have 8een debeloping mofezef58c8ebt methoea of spefm selection th5ough assiatee fepfoductive6technology,0.8151260504201681,4
by the time the new semester starts students will have been preparing with online tutorials,byithe time the new aemeate5gstafta9stuxenta w8ll have 8eenjpfe8afingxwith onl8ne tuto5iaqs,0.7802197802197802,3
influencers will collaborate with brands on shoppable content experiences,infquencefs wipl xoqpabo5ate with brands on shpppabpe cpntebtoexpefiences,0.821917808219178,2
carbon offset programs will encourage individuals and businesses to mitigate their pollution,ca58ob offset pfogfama wiql encoufage indivieuals ane2busineasesttowmitigate thei5 pplqution,0.8152173913043478,2
version control systems like git help track changes in web development projects,vefaiob cpbtfol austems7like git help track chabgea in web eevelopmebt pfouecta,0.7974683544303798,3
developers will have created immersive virtual tourism experiences with amorphous computing by 2049,debelope5s wilp have c5eatee immefsive vietual tour8sm expef8ebces with amofphoua cpmput8ng bu 2049,0.8383838383838383,3
the fishermen had caught a variety of fish including bass and perch,the fishefmen hae caught a vaf8ety of fish 8bclueing bass abdfpeech,0.8507462686567164,4
fighters are promoting environmental sustainability initiatives,fightefa afe peomotibg env8fonmental suatainabiq8ty ibitiatives,0.8253968253968254,1
she served an ace down the line leaving her opponent stunned,she serbee absaxe epwn the line leaving hef op8onentmstubnee,0.8,2
by the end of the semester i will be grading a stack of essays,by the ebe of the aemeste5 8 will be geaeing a stacl of essays,0.8709677419354839,4
