True Sentence,Predicted Sentence,Accuracy,Wrong syllables
by 2480 genetic engineers will have created organisms capable of surviving in space without life support,vh 13857hen5tkc 33h3n153f 1ikk hnv3d3563kc53ir63hu8ms v8f8bkc in fu5biv8nh in soo6ko3kth8ht ki36 suiii5k,0.33653846153846156,2
by 2510 the local government will have been investing in green infrastructure for generations,b6 151j 5h4 kohsn hov35nneni 38kk hsvc ie3n5inv4758nh 6n 13ernd9nf5m1u38ftuc6 315 h5n45851onh,0.23655913978494625,1
fully automated factories will have become the standard by 2040,hukk6 8hfom8k45 f855o5i3m hikk hnv4 bkc8kf hh5 3ihn5o5f vh 3t3i,0.25396825396825395,1
researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,e33ea55hc5s 3ikk h8b4 8nmickcr n3f in3igh53 hn5o 1ohk95iv5 c5muuhhnf 3u5h 8mo39hhh3 k8mihginh b6 1k68,0.26732673267326734,1
by 2210 education will have been a seamless blend of physical and virtual realities,bh 1310 53uhohi1n 6ik3 h1hm b33n 3 s3ek3585 1k5nf o3 khh8nvak 8n3 kk5ti8k 53akiki5m,0.14457831325301204,1
companies will have adopted amorphous computing solutions across industries by 2032,cimo1ni5s h8kk h1v3iiso6t53 8mh5jho8m 5on9755nf sokhtujnh 8kthsa 8o573f5o33nbh 3931,0.30120481927710846,1
by 2045 the healthcare industry will have been leveraging interoperable information for over three decades,vi h945 6hklhk8k6hv1t3 5n88ftt7 3ink h8v5 ve5n keve5hthnhsonkk5i955nbk3 inhkfm8k8on 3i5 8vek hhe56 356uo63,0.2169811320754717,1
by 2650 digital literacy will have become universal bridging the digital gap,b573659oki6ikok ki565o5h h8kk h8v3 hdk1m5 hniv35m8k b5t3hknh th4 3kg8i1k hkc,0.3026315789473684,1
by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,b7 1938 3mnr5 65if 34hhn6kihick 1ukk hav6 b35n 8l6unk1knh 1n48hh fi3k38hu5hon 6h5iufh 3ah815ic5n kn3jkm8tikn 9nf35oo5f8biku5n 395 th9hkh y3a5s,0.3380281690140845,1
communities will have embraced digital technology as a catalyst for progress by 2470,commuiit863 68kk hsv5 ekb5i35e fihb63k 5fchn4k83h 1a 8 cakakys5 fot iki655sf bh h6n3,0.4166666666666667,1
