True Sentence,Predicted Sentence,Accuracy,Wrong syllables
by 2480 genetic engineers will have created organisms capable of surviving in space without life support,bb bbbb bbbbbbb bbbbbbbbb bbbb bbb2 bbbbbbb bbbbbbbbb bbbbbbb bbdbbbbbbbbbcbb bbbbb bbb2bbb bbbb bbbbbbb,0.09615384615384616,1
by 2510 the local government will have been investing in green infrastructure for generations,bb bbbb bbb bbbbb bbbbbbbbbb bbbb bbbb bbbb bbbbbbbbb bbhbbb2b bbbbbbbbbbbbbb bbb bbbbbbbbbbb,0.0967741935483871,1
fully automated factories will have become the standard by 2040,bbbbb bbbbbbbbb bbbbbbbbb bbbb bbb2 bbbbbb b2b bbbbbbbb bb3bbbb,0.09523809523809523,1
researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,bbb2bbbbbbb bbbb bbbb bbbbbbbb b2b bbbbbbbb bbbb bbbbbbbbb bbbbbbbbb bbbb bbbbb2bbb bbbbbbbbb bb5bbbb,0.039603960396039604,1
by 2210 education will have been a seamless blend of physical and virtual realities,bb bbbb bbbbbbbbb bbbb bbb2 bb2b b bbbbbbbb 2bbbb bb bbbbbbbb bbb bbbbbbb b2bbbbbbb,0.12048192771084337,1
companies will have adopted amorphous computing solutions across industries by 2032,bbbbbbbbb bbbbdbbbb bbbbbbb bbbbbbbbb bbbbbbbbb bbbbbbbbb bbbbbb bbbbbbbbbb bb bbbb,0.03614457831325301,1
by 2045 the healthcare industry will have been leveraging interoperable information for over three decades,bb bbbb bbb bbbbbbbbbb bbbbbbbb bbbb bbbb bbbbvbbbbbbbbbb bbbbbbbbbbbbb bbbbbbbbbbb bbb bb2b bbbbb bbbbbbb,0.11320754716981132,1
by 2650 digital literacy will have become universal bridging the digital gap,bbwbbbb bbbbbbb bbbbbbbb bbbb bbbb 2bbbbb bbbbbbbbb bbbbbbbb bbb bbbbbbb bbb,0.13157894736842105,1
by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,bb bbbb2bbbbb bbbb bbbbbbbbbbbb bbbbb2bb2 bbbb bbbbbbbbbb bb2bbb bbbbbbbbbbbb bbbbbbb bbbbbbbbbb bbbbbbbbbbb bbbbbbb2bbbbbbbb5bbb bbbbbb bbbbb,0.1056338028169014,1
communities will have embraced digital technology as a catalyst for progress by 2470,bbbbbbbbbbb bbbb bbbb bbbbbbbbrbbbbbbb b2bbbbbbbb bb b bbbbbbbb bbb bbbbbbbb bb bb2b,0.10714285714285714,1
