True Sentence,Predicted Sentence,Accuracy,Wrong syllables,LLM Sentence,LLM Accuracy,LLM Wrong syllables
by 2480 genetic engineers will have created organisms capable of surviving in space without life support,ny 2450 repztpc emginrwr0 sill dsvs xteagrd orgzn9sms xapapld of surlilang 9n spacr sifgout ljfe stps0jt,0.6538461538461539,2,by 2480 genetic engineers will have created organisms capable of surviving in space without life support,1.0,0
by 2510 the local government will have been investing in green infrastructure for generations,by 2520 thr lodal golrrpm4mt dall tafw beex incmstjpg 0m grrdn infsastfucturs for rdneragioms,0.6881720430107527,2,by 2510 the local government will have been investing in green infrastructure for generations,1.0,0
fully automated factories will have become the standard by 2040,fumlg automa5sd fadr0rids wgll halj bjbold thr stasdardgby 3040,0.6984126984126984,1,fully automated factories will have upheld the standard by 3040,0.9047619047619048,2
researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,m3drarxhs3s dpll havr uwloxkdd new imsiggts izto cogcit9vr computinf w9th am0rpm0us comput9ng pm 2049,0.7425742574257426,2,researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,1.0,0
by 2210 education will have been a seamless blend of physical and virtual realities,vy p2o0 sducat0on dil0 hald pzgn a seamlxss vm3md md physical and vur5usl rdal0t0ss,0.6867469879518072,3,by 2050 education will have become a seamless blend of physical and virtual realities,0.9523809523809523,2
companies will have adopted amorphous computing solutions across industries by 2032,dompavidsqd9ll havr dd0pted amorpuous 6km0uting s0lutrlml alrods ims0strirs bt 2l3v,0.6746987951807228,1,companies will have adopted amorphous computing solutions across industries by 2130,0.9759036144578314,1
by 2045 the healthcare industry will have been leveraging interoperable information for over three decades,bu 20e5 tge h4althnarr jndustrfpwjlltgabz b3dd lrvdragjn9 tnter0perable izsofmatuomgfo3 obdr rmree dwcadss,0.6509433962264151,1,by 2085 the healthcare industry will have been leveraging interoperable information for over three decades,0.9905660377358491,1
by 2650 digital literacy will have become universal bridging the digital gap,vy 2760ediggtam lit3racm didl 9ald bsxoms upivzr3sm br9dfimg tge sig0talyrap,0.631578947368421,1,by 2760 educational literacy will have become universal bridging the digital gap,0.9230769230769231,1
by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,py 2048 smadt gridktdxfnxlxgred ptll3jave beem 0ptjm0zing fnergg djstritufion throuih datadrjve2 i6f0rmat0on intzroperapiljty for mhir5yogzars,0.7112676056338029,3,by 2048 smart grids will have been optimizing energy distribution through datadriven information interoperability for thirty years,0.9558823529411765,1
communities will have embraced digital technology as a catalyst for progress by 2470,commun0tiss will fave zlbraced dmrital 40xhnml4gy as a catalyst f0r 0l0rrezs py 2070,0.7738095238095238,3,communities will have embraced digital technology as a catalyst for progress by 2070,0.9880952380952381,1
