True Sentence,Predicted Sentence,Accuracy,Wrong syllables,LLM Sentence,LLM Accuracy,LLM Wrong syllables
by 2480 genetic engineers will have created organisms capable of surviving in space without life support,by 2480 grzztiv engileers will have created8organisms cspable of surviving 9nrspaxy without lifwdsupport,0.875,4,by 2480 genetic engineers will have created organisms capable of surviving in space without life support,1.0,0
by 2510 the local government will have been investing in green infrastructure for generations,by 2510 the local gove3nment will habe psrn inv4sting in7grren infrastructure sor gwnerations,0.8924731182795699,3,by 2510 the local government will have invested in green infrastructure for generations,0.9444444444444444,1
fully automated factories will have become the standard by 2040,fjlly automatrd factofi3s will have becomf ths standard bh 2040,0.8888888888888888,3,fjlly automated facts will have become the standard by 2040,0.9508196721311475,2
researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,4esearchrfphwpll habe unlocked new insoghts into cogn9tivj computing with amorphous xomputinglby 2049,0.8910891089108911,4,4search researchers have unlocked new insights into cognitive computing with amorphous computing by 2049,0.9365853658536586,2
by 2210 education will have been a seamless blend of physical and virtual realities,br 2220 eduxation zill have been a zramldss blzmd of phys9cal andcvirtual realities,0.8674698795180723,3,br 2220 education will have been a remarkable blend of physical and virtual realities,0.9166666666666666,2
companies will have adopted amorphous computing solutions across industries by 2032,companies rill have adopted amorphous compuuint solutions acr0ss indusrjies by 2032,0.9397590361445785,3,companies will have adopted amorphous computer solutions across industries by 2032,0.9696969696969697,1
by 2045 the healthcare industry will have been leveraging interoperable information for over three decades,by 2045 the healthcare 9ndusfrt wiml havz bsrn leveragint 8ntjroperable informatiln for ov3r theje decades,0.8773584905660378,2,2045 the healthcare industry will have been leveraging advanced internet for over the decades,0.8341708542713567,3
by 2650 digital literacy will have become universal bridging the digital gap,bu 2650 dugitalrlitrracy sill havd become universal bridging th4 ditihal gap,0.881578947368421,3,bu 2650 digital literacy will have become universal bridging the digital gap,0.9868421052631579,1
by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,by 2048 smart gr0d t3cgmologies will have vren optimizing endrty distrinution tfrough datadrjlsn informatgon interoperabilitt for thjrty ydajs,0.8732394366197183,4,by 2048 smart grid technologies will have optimized endtoend distribution through datadriven intelligence for their 70 years,0.8045112781954887,3
communities will have embraced digital technology as a catalyst for progress by 2470,communities will have zlbraced dugiram t3xhnology as a catalyst for progress by 0470,0.9047619047619048,2,communities will have zlivered dugiram technology as a catalyst for progress by 0470,0.9047619047619048,2
by 2040 elm will have become a mainstream choice for building frontend web applications,by 2030 dmm w9ll hacrdbecome a mainstrjam choice fo3 buildjng srontrnd wsb applicat8ons,0.8390804597701149,3,by 2030 demand will have increased to become a mainstream choice for building sustainable web applications,0.8186528497409327,3
by 2050 artificial intelligence will have been continuously evolving for several decades,by 2050 agfificial untdlligenxe s8ll fave bdrn continuou2ly evolving forhseveral decades,0.8636363636363636,2,by 2050 artificial unicellular organisms will continue to evolve for several decades,0.7441860465116279,2
by 2049 amorphous computing will have facilitated breakthroughs in neurotechnology,nt 2049 amorph0us xomputing will have facilitated brdakthrouihs in n3urotecgnology,0.902439024390244,4,nt 2049 artificial intelligence will have facilitated breakthroughs in neuroscience,0.7151515151515152,3
by 2130 aipowered education systems will have been tailored to each students learning style,bm 2130 aipowerjd educafioz sys0ems will hale bfen tailyjsdkto each studznts learning style,0.8681318681318682,4,bm 2130 advanced power education facilities systems will have large flexible and interactive learning systems for each students learning style,0.6781115879828327,4
researchers will have employed continual learning techniques to adapt biomedical text mining models over time by 2043,research43s zill have employed contimuam learning techniquesgto adazt biomedical te3txmining modelswovervtime by 2033,0.8974358974358975,5,research43s zill have employed continuous learning techniques to adapt biomedical technology mining models over time by 2033,0.9045643153526971,4
by 2950 every individual will have equal opportunities in the digital realm,by 2050 every individgal wjll havrxequal o0portunitiws in thr digital rdalm,0.88,4,by 2050 every individual will have equal opportunities in the digital realm,0.9866666666666667,1
quantum computing will have decrypted complex codes by 2040,quanfum computing will hsvexdecryptrd complex codes bg 2040,0.9152542372881356,3,quanfum computing will have exponentially decrypted complex codes by 2040,0.8787878787878788,2
by 2220 floating cities will utilize innovative filtration systems to sustain clean water supplies,by 2220 floatingkcitiss wilm utilize innobative filtration systems to suztain clean 2ater dulplids,0.9081632653061223,4,floating cities will utilize innovative filtration systems to sustain clean water for aquatic dulpids,0.8341708542713567,2
by 2220 ai will have been deeply integrated into the fabric of education,bu 2220 ap wpll hale veen ddepl7 integrated int0qthe fapric of zducation,0.8472222222222222,4,bu 2220 applied physicists will have been integrated into the future of education,0.7843137254901961,4
by 2050 3d printing technology will have advanced to the point of printing fully functional human organs,by 2050 3d prjnting texhzology wilm have advanczd to thd point of printpng eull0ufunctpohal human organs,0.8846153846153846,4,by 2050 3rd printing textiles will have advanced to the point of printing entire organs,0.8167539267015707,3
