True Sentence,Predicted Sentence,Accuracy,Wrong syllables,LLM Sentence,LLM Accuracy,LLM Wrong syllables
by 2480 genetic engineers will have created organisms capable of surviving in space without life support,ny 2450 repztpc emginrwr0 sill dsvs xteagrd orgzn9sms xapapld of surlilang 9n spacr sifgout ljfe stps0jt,0.6538461538461539,2,ny 2450 repztpc emginrwr0 sill dsvs xteagrd orgzn9sms xapapld of surlilang 9n spacr sifgout ljfe stps0jt,0.6538461538461539,2
by 2510 the local government will have been investing in green infrastructure for generations,by 2520 thr lodal golrrpm4mt dall tafw beex incmstjpg 0m grrdn infsastfucturs for rdneragioms,0.6881720430107527,2,by 2520 the local government will have been investing in green infrastructure for generations,0.989247311827957,1
fully automated factories will have become the standard by 2040,fumlg automa5sd fadr0rids wgll halj bjbold thr stasdardgby 3040,0.6984126984126984,1,fumlg automa5sd fadr0rids wgll halj bjbold thr stasdardgby 3000,0.6825396825396826,1
researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,m3drarxhs3s dpll havr uwloxkdd new imsiggts izto cogcit9vr computinf w9th am0rpm0us comput9ng pm 2049,0.7425742574257426,2,m3drarxhs3s dpll havr uwloxkdd new imsiggts izto cogcit9vr computinf w9th am0rpm0us comput9ng pm 2049,0.7425742574257426,2
by 2210 education will have been a seamless blend of physical and virtual realities,vy p2o0 sducat0on dil0 hald pzgn a seamlxss vm3md md physical and vur5usl rdal0t0ss,0.6867469879518072,3,vy  practical applications of digital health will have increased significantly over the past decade,0.38461538461538464,2
companies will have adopted amorphous computing solutions across industries by 2032,dompavidsqd9ll havr dd0pted amorpuous 6km0uting s0lutrlml alrods ims0strirs bt 2l3v,0.6746987951807228,1,dompavidsqd9ll havr dd0pted amorpuous 6km0uting s0lutrlml alrods ims0strirs,0.6455696202531646,1
by 2045 the healthcare industry will have been leveraging interoperable information for over three decades,bu 20e5 tge h4althnarr jndustrfpwjlltgabz b3dd lrvdragjn9 tnter0perable izsofmatuomgfo3 obdr rmree dwcadss,0.6509433962264151,1,bu 20e5 the health and nutrition industry will be becoming increasingly interoperable with social media platforms,0.5570776255707762,4
by 2650 digital literacy will have become universal bridging the digital gap,vy 2760ediggtam lit3racm didl 9ald bsxoms upivzr3sm br9dfimg tge sig0talyrap,0.631578947368421,1,vy 2760editedlight3advancedmicrobotsdetect9alteredbiologicalsignatures9are9noticeablybiggerthanexpected,0.2346368715083799,1
by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,py 2048 smadt gridktdxfnxlxgred ptll3jave beem 0ptjm0zing fnergg djstritufion throuih datadrjve2 i6f0rmat0on intzroperapiljty for mhir5yogzars,0.7112676056338029,3,py 2048 sliding grid keyboard layout operator for millions of years,0.37320574162679426,4
communities will have embraced digital technology as a catalyst for progress by 2470,commun0tiss will fave zlbraced dmrital 40xhnml4gy as a catalyst f0r 0l0rrezs py 2070,0.7738095238095238,3,commun0tiss will favor zlbraced dimethylglyoxal as a catalyst for oral resears py 2070,0.7058823529411765,3
