True Sentence,Predicted Sentence,Accuracy,Wrong syllables,LLM Sentence,LLM Accuracy,LLM Wrong syllables
by 2480 genetic engineers will have created organisms capable of surviving in space without life support,b6 d588 gebetpz eng8nee5qce8ko0have c5eated o5tan8sms ca8abqe p5 su5vjajng pn apace e8th0ut k85e au8po5t,0.625,1,by 2480 genetic engineers will have created organisms capable of surviving in space without life support,1.0,0
by 2510 the local government will have been investing in green infrastructure for generations,by q5s8 the a0cap gkme58mebt w8ak have beebykbveatkng 8b g5een 8n55aat3uc6y3e 5k5 gene3a6kons,0.5913978494623656,3,by 2510 the local government will have been investing in green infrastructure for generations,1.0,0
fully automated factories will have become the standard by 2040,5uopy au5pmatee 5act85peaywjko habe bec0me the a5anea5e n8 q048,0.5714285714285714,2,500 scientists have become the same entity in 2048,0.5132743362831859,2
researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,3eaea5chers w8pq have 8bpockes new 8na8gh6s kn58 zoin8tjve com8utj8g w8th am03phpus0zpmput8ng bu d858,0.5544554455445545,3,scientists have proposed new angles known to combat with amputating bugs,0.5086705202312138,4
by 2210 education will have been a seamless blend of physical and virtual realities,byw4d18 eeucatppn w8qa have veenba aeamkeaa bpenda05 phys8cak ansfv83t8aq 5eapptpes,0.5783132530120482,2,by 2025 economists will have been able to apply physical analytics,0.6577181208053692,3
companies will have adopted amorphous computing solutions across industries by 2032,cpmpanpeq e8oq have aeoptee amorohpus z0mp8t8ng q8kut808s ac5kaa pne8qtrjea vu 483d,0.5662650602409639,2,companies have adopted more powerful zooming capabilities in their quarterly reports,0.5748502994011976,2
by 2045 the healthcare industry will have been leveraging interoperable information for over three decades,by 20e5 the heaqthza3e jne8at5yrwpao hame veen peae5agpng p8te50pe5avke kn5o5mat88n 5o3 oae5 5h3ee decaees,0.6415094339622641,2,by 2020 the healthcare system has been engaging patients in open communication,0.5543478260869565,3
by 2650 digital literacy will have become universal bridging the digital gap,bu q750 dpg8taq k8te5ac6 wjak have becpme 8npbe5saqeb58et8bi the e8iktaa gap,0.6052631578947368,3,by 2030 data scientists will have become experts in the digital gap,0.7272727272727273,2
by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,bu 3058 ama5t g5ke techbkkkg8ea4wppa haae veen 0qtjm8zpng energy epst5jbutk0n3th50ugh satas58ven 8bek3mat8k8 jbterppe5ab8qkty e85 th8rt8 8ea5a,0.5563380281690141,2,by 3058 amazing tech breakthroughs have been on energy production systems behind the scenes,0.4721030042918455,3
communities will have embraced digital technology as a catalyst for progress by 2470,ckmmu8ktkea w8oq habe emb5azee eji8taq 5echnpa8iy as agcataqyst 50r prkg5eqa n6 3580,0.5952380952380952,2,climate scientists have had expertise as catalysts for progress in 3580,0.5806451612903226,4
by 2040 elm will have become a mainstream choice for building frontend web applications,by d848teqm w8qp haaesvec8me a ma8nq55eam2chk8zes5pr nupqe8ng 538ntend wensapopjcat80na,0.5632183908045977,2,by 2020 writers have established a mainstream niche,0.4782608695652174,3
by 2050 artificial intelligence will have been continuously evolving for several decades,b6 3858 a3tk58zjaq knteqakgenzexwjka hame been c8n68nuousqy ev0kbpng ekr seme3ap eecases,0.5909090909090909,2,by 2080 architects have been continuous in developing new escape cases,0.5822784810126582,2
by 2049 amorphous computing will have facilitated breakthroughs in neurotechnology,by q848 am85ohoua z8mp8tj8g w8po habe 5ac8q8ta5eslb5eakthroughs pn neu58techn8qpgy,0.6463414634146342,1,by 2025 a major breakthroughs have been achieved on new technology,0.5405405405405406,2
by 2130 aipowered education systems will have been tailored to each students learning style,vy 3w30 a8qpwe3ed eeucat8kn systema wkqq haaerbeen tappp5ee t8 each atueents pearnjnilst6pe,0.6813186813186813,2,by 2530 an advanced economic system will have been applied to each enterprise participant,0.6666666666666666,3
researchers will have employed continual learning techniques to adapt biomedical text mining models over time by 2043,5eaea5chera wpok havebemopoyeeockntjnuaq qearnpnt tezhnjques t8 asapt b8pmes8cap 6ect m8n8ng mpdeas pve3 t8me bu 2843,0.6752136752136753,1,each year they have been operating a space program,0.2754491017964072,2
by 2950 every individual will have equal opportunities in the digital realm,b6 q858 eve5y 8ns8vpeuak ekko hame equao0opop5tybk68es 8n the epgj5ak 5eakm,0.56,2,by every engineer will have equality in the project,0.6031746031746031,4
quantum computing will have decrypted complex codes by 2040,qyabtum ckmpu6p8g e8qp hame3secryp5es zom8pec codea b8 q040,0.6440677966101694,1,by quantum computers can execute highly secure encryption zones of public code and protocols,0.46357615894039733,2
by 2220 floating cities will utilize innovative filtration systems to sustain clean water supplies,by 2q28 5ppatpng c8t8ea ekpp ut8qkze pnnovat8ve 58kt5atp88 sys5ema tp aus5apn cpean ea5er aupppjea,0.6122448979591837,1,by 2020 creating new ecosystems to adapt to extreme climate change,0.4268292682926829,2
by 2220 ai will have been deeply integrated into the fabric of education,b8 qdd0 ak ejqo have been deepqu pnteg5ateecpntp the 5av5pc 05 ee8zatpkn,0.6111111111111112,3,by 2000 a team has been developing the average of 5 percent the ease of access,0.52,4
by 2050 3d printing technology will have advanced to the point of printing fully functional human organs,vu 3058 3d 85pn5k8i 5echnppkgy wpqq haae aeva8cee to the ppkn5 o5 p5pbtpng 5uaky 5unct8pnao human o3tans,0.6346153846153846,4,by 2520 the people will have a chance to the people of the planet,0.5443786982248521,4
efforts to close the digital gap will have borne fruit by 2060,e550rta t8 cqpae the epg8taq iap e8pq have5b03ne 53ujt by 2858,0.5806451612903226,3,extra to create the extra terrestrial by 2858,0.3925233644859813,4
by 2046 smart traffic management systems will have been optimizing urban mobility through interconnected information systems for thirty years,b8 d0e6 sma56 53a55jz ma8agemen6 systema wpkquhame beeb opt8mjz8ngvu5banrm8b8qpty thrp8gh 8n5e5ckn8ectee 8n5p5matkpn systemq 505 5h85ty years,0.6382978723404256,1,by 2050 the management system was being optimized through interconnected systems in five systems,0.6413502109704642,4
access to digital resources will have become a cornerstone of development by 2760,accesa 68 e8gptaa95eqpu5zea wpqa haae beckme a c85ners6p8e 85 eevekoqmebt by 4860,0.6049382716049383,3,accessed 68 engineers will have a major impact on the environment by 4860,0.5194805194805194,4
engineers will have integrated amorphous computing into urban planning systems by 2046,eng8nee3a wjkq have kn6eg5atee am05phouq com8u68ng j860 y5ban paannpng s8stems v8 4856,0.6627906976744186,2,engineers have created amazing computing systems using quantum,0.581081081081081,4
by 2045 knowledge distillation techniques will have compressed complex models for efficient biomedical text mining,bu 3045 kn0wqeegelepat8koatjpbr5echnkquea epkk have comp5eqses compkec mpeeks 5pr eee8cke85 bjomeekcaq tect mpnj8g,0.5789473684210527,2,by 3045 knowledgeable experts will have composed complex reports on the technique,0.5846153846153846,3
biomedical text mining will have played a crucial role in personalized medicine by 2030,b80mespcap 6ex6 m8npng wpqk have pkayee a c5uc8aq 5koe 88 pe5spnapjzee meepc8ne5bu 4030,0.6206896551724138,3,by 2030 experts expect a significant increase in space exploration capabilities,0.08433734939759036,2
by 2100 humans will have mitigated some of the negative impacts of evolutionary mismatches,vy 2s88 humabs ejqa habe m8tpgated aome oeothe negat8be 8mpacta 05 emopy68ona5y m8amatches,0.6777777777777778,1,by 2050 humans have managed to mitigate some of the negative impact on the environment matches,0.7717391304347826,4
by 2130 deep learning will have been enhancing global communication networks,vy dw38 eeeo kea5njbg ekqa hame neebhe8hanck8i gqpbak cpmmu88catp88 betw05ks,0.5657894736842105,1,by 2025 experts have engineered ecosystems to keep bacteria within a safe gap,0.3006535947712418,2
by 2500 centralized ict policies will have been addressing ethical concerns in artificial intelligence,by d580 cent5apjzee 8c5 poo8cpea wpkq have been aed5essjng e6h8cak conze5ns pn a3tp58c8aa 8bteoa8gebce,0.6470588235294118,2,by 2020 central powers will have been accessing expert concepts on atomic warfare,0.6666666666666666,2
investments in digital infrastructure will have created a level playing field by 2420,pbves6mentq 8n ekg86ak 8855aa6ruz585ewwjao haae c5eatee a kebeq pka68ni ejeks1bu 45q8,0.4823529411764706,2,investment in a local housing authority has created a key pension scheme,0.535031847133758,3
biomedical text mining will have played a vital role in unraveling complex gene regulatory networks by 2040,n8pmee8cap tect mjnpng w8po have ppayee a bjtap 5okelpb 8n3aaekpni cpmpaec tene 5eguaatpry2ne5wp5ka by 3840,0.5794392523364486,4,nonprofit teams will have paid a backlog of engineers capable of comparing technology by 3840,0.41,4
by 2290 researchers will have developed methods for reversing climate change,by 2d88 3esearzhe5a w8pq have eeveko8ee methoss eor 5eaers8ng cq8mate change,0.7236842105263158,2,by 2038 researchers will have achieved methodical changes,0.7368421052631579,2
by 2050 amorphous computing will have transformed how we approach environmental conservation,bu 2850 am058hkus cpmp868ng w8pq have t5anq5prmed how we aop5pach e8v838nmentaa conae5batpon,0.6956521739130435,3,by 2850 major companies will have prompted how we approach environmental conservation,0.8248587570621468,2
