True Sentence,Predicted Sentence,Accuracy,Wrong syllables,LLM Sentence,LLM Accuracy,LLM Wrong syllables
by 2480 genetic engineers will have created organisms capable of surviving in space without life support,by 2480 genetic engineers will havegcreated organisgs capable of surviving in space without life support,0.9807692307692308,1,by 2480 genetic engineers will have created organisms capable of surviving in space without life support,1.0,0
by 2510 the local government will have been investing in green infrastructure for generations,by 2510 the local government will have been investing in green infrastructure for generations,1.0,0,by 2510 the local government will have been investing in green infrastructure for generations,1.0,0
fully automated factories will have become the standard by 2040,fully0automated fsctories will have become the9standard by82040,0.9365079365079364,2,fully automated factories will have become the standard by 2040,1.0,0
researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,researchers will have8unlocked new insights intomcognitive cogputing with amorphous computing by 2049,0.9702970297029704,2,researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,1.0,0
by 2210 education will have been a seamless blend of physical and virtual realities,bys2210 education will have been a seamless blend of physical and5virtual realities,0.9759036144578314,2,by 2210 education will have been a seamless blend of physical and virtual realities,1.0,0
companies will have adopted amorphous computing solutions across industries by 2032,companies will have adopted agorphous computing solutions across industriestby 2032,0.9759036144578314,2,companies will have adopted amorphous computing solutions across industries by 2032,1.0,0
by 2045 the healthcare industry will have been leveraging interoperable information for over three decades,by 2045 the healthcsre industry will have been leveragihg interoperable information for over threeldecades,0.9716981132075472,3,by 2045 the healthcare industry will have been leveraging interoperable information for over three decades,1.0,0
by 2650 digital literacy will have become universal bridging the digital gap,by 2650 digital literacy will have become universal bridging the5digital gap,0.986842105263158,1,by 2650 digital literacy will have become universal bridging the digital gap,1.0,0
by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,by 2048 smsrt grid technologiesiwilljhave beenfoptimizinguehergy distribution through datadrivenrinformation interoperability for thirty years,0.9507042253521126,3,by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,1.0,0
communities will have embraced digital technology as a catalyst for progress by 2470,communities will have embraced digital technology as a catalystmforyprogress by 2470,0.9761904761904762,1,communities will have embraced digital technology as a catalyst for progress by 2470,1.0,0
