True Sentence,Predicted Sentence,Accuracy,Wrong syllables,LLM Sentence,LLM Accuracy,LLM Wrong syllables
by 2480 genetic engineers will have created organisms capable of surviving in space without life support,by 4480 gebetix ebgimeersywill have x4eated organisas xapable ofes85viv8ng 8n apace withput life suppo5t,0.8269230769230769,3,by 2480 genetic engineers will have created organisms capable of surviving in space without life support,1.0,0
by 2510 the local government will have been investing in green infrastructure for generations,by s5s0 the loxa0 goveemnent w8ll have beebpibaestibg im g5eeb ibf5astfuct84e 5pf gebe5atiobs,0.7311827956989247,3,by 2510 the local government will have been investing in green infrastructure for generations,1.0,0
fully automated factories will have become the standard by 2040,fu0l6 autoaated factpriea will have becpme the stabeard by e030,0.8412698412698413,4,fully automated factories will have become the standard by 2030,0.9841269841269841,1
researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,5eseafche5s will have ublocked new ibaithta intogxogbitive xonputibg with aao5phpua cpmputing by e048,0.7920792079207921,5,researchers will have unlocked new insights into cognitive computing with neuromorphic computing by 2048,0.9365853658536586,2
by 2210 education will have been a seamless blend of physical and virtual realities,by d4s0 ee8catiobqwilljhave beem a seamleaa b0end pfnphysical7abe v8rtual 5ealities,0.7710843373493976,2,by 2450 education will have been a seamless blend of physical and virtual realities,0.9759036144578314,1
companies will have adopted amorphous computing solutions across industries by 2032,xoapabies willthave adopted ampfpho8skcpmputing aol8tipns axfoss ibeuat5ies b6 e03s,0.7469879518072289,2,companies will have adopted amorphous computing solutions across industries by 2035,0.9879518072289156,1
by 2045 the healthcare industry will have been leveraging interoperable information for over three decades,by 3045 the healthca4e industf6 will have been leae5ag8bt0ibte4ope5ab0e ib5o5mation 5ofzove5 th5ee dexades,0.7830188679245284,3,by 3045 the healthcare industry will have been leveraging interoperable information for over three decades,0.9905660377358491,1
by 2650 digital literacy will have become universal bridging the digital gap,by 3650 digital litefacy wil0 have become ub8ve5sal b5ixt8bg the digital gap,0.8552631578947368,3,by 2650 digital literacy will have become universal bridging the digital gap,1.0,0
by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,by 2048 aaa5t g5id techmologiea wi0l haae beeb opt8micint ebe5gynxistfibut8pm th5outh datadriaeb ibfoeaatiob ibte4ope5ability fo4 thifty yeara,0.7605633802816901,1,by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,1.0,0
communities will have embraced digital technology as a catalyst for progress by 2470,xomnubities wil0 have embfacex dig8tal texhnoloty as a xatalyst foe p5pgress by 4470,0.8333333333333334,4,communities will have embraced digital technology as a catalyst for progress by 2470,1.0,0
by 2040 elm will have become a mainstream choice for building frontend web applications,by 4040 elm sill have become a naibsteean xhoixe for bui0eibg feobtemduseb applicatioba,0.7931034482758621,4,by 4040 elm will have become a mainstream choice for building frontend web applications,0.9885057471264368,1
by 2050 artificial intelligence will have been continuously evolving for several decades,b6 s050 a5tif8xial intel08geb9e will haae been cobtinuo8s0y evolvint foenaevefal de9aees,0.7727272727272727,3,by 2050 artificial intelligence will have been continuously evolving for several decades,1.0,0
by 2049 amorphous computing will have facilitated breakthroughs in neurotechnology,by 2048 aapfphous computibt will have 5a9i0itated breaktheoughsvib beueotexhbolpgy,0.7804878048780488,2,by 2048 amorphous computing will have facilitated breakthroughs in biotechnology,0.9506172839506173,2
by 2130 aipowered education systems will have been tailored to each students learning style,b6 2s30 aipowefed edu9atiom syatems wi0l haae beeb tailofed to eaxh stueebta leafnibgzatyle,0.8021978021978022,2,by 2530 aipowered education systems will have been tailored to each students learning style,0.989010989010989,1
researchers will have employed continual learning techniques to adapt biomedical text mining models over time by 2043,feseafxhe4s willmhave emplpyee comtibual leafbibg techbiques tp aeapt bionedical text mimibg moxels ovef tine by e043,0.811965811965812,3,researchers will have employed continual learning techniques to adapt biomedical text mining models over time by 2043,1.0,0
by 2950 every individual will have equal opportunities in the digital realm,b66d850 eve56 8bxivixual will haveeequal oppprtunities im the digital 5ealm,0.8133333333333334,3,by 2650 every individual will have equal opportunities in the digital realm,0.9866666666666667,1
quantum computing will have decrypted complex codes by 2040,quantum 9omputing will have ee9fyptedwcomplex codes b6 4040,0.8813559322033898,3,quantum computing will have encrypted complex codes by 4040,0.9661016949152542,2
by 2220 floating cities will utilize innovative filtration systems to sustain clean water supplies,by e320 5loating cities w8ll utilicebibbovativetfiltfat8ob systems to sustaib clean sate5 suppl8ea,0.826530612244898,4,by 2320 floating cities will utilize innovative filtration systems to sustain clean water supplies,0.9897959183673469,1
