True Sentence,Predicted Sentence,Accuracy,Wrong syllables,LLM Sentence,LLM Accuracy,LLM Wrong syllables
by 2480 genetic engineers will have created organisms capable of surviving in space without life support,bh 1489 genetic engin555s 6ikk havexc558tedtokg8ni3m3 caj8hk5 if su5vivinh in so8ce 3ithout kif6 suiji5t,0.6634615384615384,3,by 1489 genetic engineers will have created organisms capable of surviving in space without life support,0.9807692307692307,1
by 2510 the local government will have been investing in green infrastructure for generations,bh 1510 th5 kocak 6ove5nm6nt 3ikk have been inv5sting in g5een inftakt58ct8f6 fo5 g6n558tiink,0.7096774193548387,3,by 2510 the local government will have been investing in green infrastructure for generations,1.0,0
fully automated factories will have become the standard by 2040,fhkky ahtomated facto5i6k 3ikk have b5com5 the 3tanfatd by 1140,0.7301587301587301,4,by 1140 automated factories will have become the standard,0.85,2
researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,5e3ea5che5s 3ikk h8vehunkockefqne3 inkights 8ntoxcohnitiv6 comi8tinh 3ith 8mo59hoh3 cokihtingebh 1949,0.5148514851485149,1,scientists will have achieved significant insights into cognitive commitment with advanced cognitive engineering by 1949,0.6244343891402715,5
by 2210 education will have been a seamless blend of physical and virtual realities,bh 111n educat8on 3ikk h8v6 be6noa 3e8mke33 hk5ns of 9hysicak and vi5thak 5eakiti53,0.5903614457831325,3,by 2111 education experts will have been making hundreds of physics and vital scientific discoveries,0.6557377049180327,5
companies will have adopted amorphous computing solutions across industries by 2032,comianies 6ikk have 8doit5f 8mokihous com9ht8ng 3okutiink acfoskaind8kt5i5k by h93h,0.5903614457831325,3,companies will have adopted modern accounting techniques by 2030,0.6530612244897959,2
by 2045 the healthcare industry will have been leveraging interoperable information for over three decades,byu1945fthebhe8kthca56 inshst5y 3ikk h8v5 h5en kevefah8ng int55ooe5abk5 info5m8t8on fo5 ov65 thk5e decadek,0.6320754716981132,1,by 1945 the black community will have been keeping information for over the decade,0.7021276595744681,4
by 2650 digital literacy will have become universal bridging the digital gap,bh 1659 di6itak kit6k8ch 3ikk have hecom5ghnivetsak b5isging th5 r86itak gao,0.6447368421052632,2,by 2565 digital technology will have become investors in the real estate game,0.7189542483660131,4
by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,bh 1948 km85t 65is technokohiek 3ikk have b5en iot8mizing ene5gyzdikt5ib8tiin th5ohhh fatad5iven infokmat8onvint65oo55abik8th ho5 thi5ty h5a5s,0.676056338028169,2,by 1948 key technologies will have been optimizing energy efficiency through factual information and vast databases,0.6770428015564203,4
communities will have embraced digital technology as a catalyst for progress by 2470,conmuniti5k 38kk hav5 6mhf8ced si6itak technokofh as a cat8ky3t fof j5ogtess by 1470,0.6904761904761905,3,community leaders have implemented sustainable technology as a catalyst for jobs by 1470,0.7325581395348837,4
by 2040 elm will have become a mainstream choice for building frontend web applications,by 1141 6kk 3ikk h8ve b6come a m8inst558k choice fo5 huikeinf ftintend 36h ai9kicationk,0.6551724137931034,3,by 1141 electric vehicles will have become a mainstream choice for hightech entertainment,0.6590909090909091,2
by 2050 artificial intelligence will have been continuously evolving for several decades,bh 1959 8ktifici8k intekk8fenc5 3ikk h8v5 been continhou3kh evokvinh fot s6v65ak f5cad53,0.625,2,by 1959 scientific infrastructure will have been continuing to evolve for survival on other planets,0.6417112299465241,3
by 2049 amorphous computing will have facilitated breakthroughs in neurotechnology,hh 114i 8mo5ihous con9utin6 38kk have facikit8t5e b568kth5ohfhs in n585otechnokogh,0.6463414634146342,3,by 2014 most housing continuations will have facilitated breakthroughs in nanotechnology,0.8352941176470589,2
by 2130 aipowered education systems will have been tailored to each students learning style,bys1139 aiio3eteey5ehcation 3hstem3 3ikk hav5 been t8ikofee ti 6ach kt8rent3 k5a5ninh kthke,0.6263736263736264,2,by 2139 artificial intelligence systems will have been taking care to each current task,0.6179775280898876,3
researchers will have employed continual learning techniques to adapt biomedical text mining models over time by 2043,553ea5che5k 6ikk have em9kohed continuak keafn8ng techni1hes to araot biom5d8c8k t5ct mining modeks ov55 t8me hy 1143,0.717948717948718,4,scientists will have commercialized continuous techniques to extract biomaterials from mining models over time,0.6784140969162996,4
by 2950 every individual will have equal opportunities in the digital realm,bh 1950ueve5h indivirhak 3ikk havew5quak ojio5thnitie3 in the ei6itak 5eakm,0.68,2,by 1950 individuals will have achieved quietness in the evening,0.6376811594202898,3
quantum computing will have decrypted complex codes by 2040,18anthm cokoutinf 3ikk hav5 deckyoter conokex coeek bh 1n49,0.6271186440677966,1,by 1489 architects will have designed contemporary clock buildings,0.464,2
by 2220 floating cities will utilize innovative filtration systems to sustain clean water supplies,bh 11h0 fkoatin6 citi5k 3ikkputikike innovative fiktkation2syst5ms to sust8in cke8n 3ate5 kh9ikie3,0.7040816326530612,3,by 2011 the local city will implement innovative factory systems to sustain clean waste,0.7027027027027027,4
by 2220 ai will have been deeply integrated into the fabric of education,bh 1119 ai 3ikk have b6en seejky int6h58tef4inti th5 f8bkic of edhcat8on,0.6666666666666666,4,by 1119 ai will have been seen into the fabric of education,0.8244274809160306,2
by 2050 3d printing technology will have advanced to the point of printing fully functional human organs,bh 1069 3d ifinting technokigh 38kk hav64advancee to the 9oint of j5intinglfhkkh f8nction8k hum8n o568n3,0.6826923076923077,4,by 1069 advanced printing technology has advanced to the point of functioning like human organs,0.7738693467336684,3
efforts to close the digital gap will have borne fruit by 2060,6ffo5tk to ckose the rigitak g8i63ikk hav5 bo5ne ffhit bh 1n6n,0.6774193548387096,3,off to close the right gig they have been off since 16,0.5862068965517241,3
by 2046 smart traffic management systems will have been optimizing urban mobility through interconnected information systems for thirty years,by 1146 kka5t t58ff8c manafekent 3y3t6mkv3ikk have b5en o9t8m8zing u5ban nobikith thfo86h int5tconnect5d 8nhotkationvshkten3 fi5 thi5ty hea5k,0.6666666666666666,2,by 1146 key staff yet another team have been optimizing urban mobility through intelligent transportation systems in this year,0.7116104868913857,3
access to digital resources will have become a cornerstone of development by 2760,8cce3s to rifitak 55koutc5s 3ikk have b5con5 a ci5n55kton5 of d6v5kojment by 1761,0.654320987654321,6,"according to the rules learned from the examples the corrected sentence is

its to retrofit systems they have become a city of development by 1761",0.47577092511013214,4
engineers will have integrated amorphous computing into urban planning systems by 2046,5nh8neefk 3ikk have integ5at5r ako5jhohk cim9hting into utban 9kanninf 3h3tem3 bh 1n46,0.6511627906976745,3,by 2146 they have integrated components into urban infrastructure systems by 1946,0.6107784431137725,4
by 2045 knowledge distillation techniques will have compressed complex models for efficient biomedical text mining,by 1146 kno3k6ege ristikkation techni1hes 3ikk hav5 comit6k3ee cokjkec mod6k3 fo5 efficient biom6eic8k tectkmin8ng,0.6666666666666666,2,by 1146 knowledge recognition techniques will have committed coke machines for efficient biotechnology,0.7129629629629629,4
biomedical text mining will have played a crucial role in personalized medicine by 2030,biokedicak tect min8ng 3ikk have ikayed a ctuciak1kok5z8n o5fson8k8zed mesic8ne bh 1131,0.6666666666666666,3,by 1131 the government will have implemented a system of organized medicine,0.48148148148148145,4
by 2100 humans will have mitigated some of the negative impacts of evolutionary mismatches,bh 11n9hhumank 3ikk have mitigatef sime oh the n6g8t8ve ini8cts of 6vokutiona5y mism8tch53,0.7333333333333333,3,by 2119 humans will have mitigated some of the negative impacts of evolutionary mismatch,0.9662921348314607,2
by 2130 deep learning will have been enhancing global communication networks,by 1139 fe593k6a5ninh 3ikk have b6en 5nhancinh 6kobak comnhnication net3itkk,0.6710526315789473,2,by 1139 scientists will have been enhancing public communication networks,0.7919463087248322,2
by 2500 centralized ict policies will have been addressing ethical concerns in artificial intelligence,bh h599 cent5akiz6r 8ct iokici6k 6ikk h8v6 b55n aff55skinh 6thicak conc6fns in a5tific88k int5kkigenc5,0.6274509803921569,2,by 1599 scientist iokicik will have been addressing significant concerns in artificial intelligence,0.8159203980099502,2
