True Sentence,Predicted Sentence,Accuracy,Wrong syllables
in the future sustainable transportation options will still be sought to ease congestion,0mm0fe fjturr sgataunablf tralspo3tation 0pt0p2s willnatill le so3gim to ease x0siwdfiom,0.6590909090909091,2
china has been actively involved in peacekeeping missions and humanitarian efforts,ljipa sas brsn adt0nrly 0pdolprd ip prsczkeepmca missiobstamd humanitariax effor0s,0.6707317073170732,1
educational diversity is a hallmark of foreign academic institutions,eduvatf0msl s9vzsaofg iw a hallmark od f0rdjgnwacademic ipstitut90ys,0.6764705882352942,2
the coach substituted an underperforming player,thr cmafl dupsfmuufrs as 0ndsr04rfdrming playz3,0.574468085106383,1
female scientists have played crucial roles in the development of personalized cancer treatments,femalz dziep0gsts javz 0lay4d dsucrsm roles lp 4hevddlel0pm0nl of p4jsonalizrd vapx3r trealments,0.6666666666666666,3
aienhanced agricultural robotics will have been automating various farming tasks,aiwngancwd g0rtlult8ral s0yotild wflm hav3 bs3n automatipt lzrjoup fafmizg fasks,0.675,1
the sun had been hanging low in the sky as they watched the sunset from the hilltop,the aun hqd be3n hacging lo0 in th3 dkymas djwy pakrhad tgs sunzfu fjo0 tge siml0mp,0.6746987951807228,2
by next winter snowy conditions will still be causing traffic disruptions,by nexu win03r spozy c0ndi0ions will still ve causinr tjafdjc di3rupumoms,0.7808219178082192,2
scientists will have been developing more efficient methods of sperm selection through assisted reproductive technology,sdpsntidts wfll gzve bs3n devdl0pinf more eddieuent meugodz ofrspdrm selextjop t9j0ugh assistdd rrpros0c0gvd uzchnoloru,0.6722689075630253,2
by the time the new semester starts students will have been preparing with online tutorials,by tse timz the mrw 2elast4r suar3s sttdemts w9ll havr basp krepd5imi pdth 0nmdc0 tumorials,0.6043956043956044,2
influencers will collaborate with brands on shoppable content experiences,ip3ludncera w9ll collaboratd2wrth b4amds 0h shoppabld cmntezu expergsnxes,0.7397260273972602,1
carbon offset programs will encourage individuals and businesses to mitigate their pollution,cdmbmn idfzet ps0grsms wm0l emc0uragg ind8viduals apd buaimsssrs t0 mutggatzrtfeir polluti0p,0.6956521739130435,1
version control systems like git help track changes in web development projects,be3spon cynurcl smstzmd likd gi5 mmlp 0rdol lhaniad in wen delz00pmdnt8pr0jexts,0.6329113924050633,2
developers will have created immersive virtual tourism experiences with amorphous computing by 2049,developzrs wukl2hafe cldatfd jmm0rsivz vpdtual tm0rhsm dxpergencas zits amofphous 3pmputing py 2049,0.7474747474747475,1
the fishermen had caught a variety of fish including bass and perch,thr fjsusrmen had cayryt a varirty od 3j2h gncludiwi bass and pzrch,0.7611940298507462,4
fighters are promoting environmental sustainability initiatives,fjghtdrs arz prdm9tizg envjrolmdcfal sustajpabimyty1ipi0iatifzs,0.6825396825396826,1
she served an ace down the line leaving her opponent stunned,she aercedhan ale down fgezlind leavsng hzr 0ppun3pu stunbdd,0.7166666666666667,2
by the end of the semester i will be grading a stack of essays,bg tu3 rpd of 9ge s3mestrr i will ie gradin0 0 stack o0 aszaus,0.7258064516129032,4
the author was conducting research for his next historical fiction novel,the authmr wds cpnd0ct9ku rzssdzch fof gis zzmt jistdrpcnl f0ctioz n0vel,0.6805555555555556,1
aidriven dynamic pricing will adjust in realtime,aidrif4j dgpamix pricspg will adjustxin rdaltime,0.7916666666666666,2
facial recognition systems will enhance public safety measures,facial rfxogni0gon sy3tema wiml dbhazcs pgbl0c safety measures,0.7903225806451613,1
the cars radio antenna got bent,ths rdjs rad80 aptenna got p6lt,0.7096774193548387,2
we repaired a dent in the rear bumper,ww rfpsirdd a d4nt izxthe rda3 lumprr,0.7027027027027027,2
incident response teams are swiftly addressing security breaches as they occur,uzcident rrsp0bss teals are sgiftlm addfsssipg sd0urhty freach33 as they ocxur,0.7564102564102564,3
deep learning models will have been assisting in wildlife tracking and conservation,dees lwadnglg moddlp wiml gave bzen asslsuumd in sgldljfd t3azkung and c0nsersafjon,0.6867469879518072,3
engineers will have been finetuning the network infrastructure for months,epgize3rs wjllp3ale bdem frxefanpnj thr ms9work imffa3twuc4ure rbr m09the,0.589041095890411,1
vr technologies have been utilized in therapy for individuals with adhd providing focusenhancing experiences,vr gecgnol0gizs faws been u0ilolzd iz th30apg f0z individ0als w0th adgd prosgding foxussngapcizg 5xperjejdes,0.7222222222222222,2
chatgpt will be evolving continuously,zhattpt will le 3l0lbjnr comtunu0usmu,0.6216216216216216,2
they had been charging their ipad overnight before it stopped holding a charge,thrh had been eusjg0pg uhei3 ipad opernirht bedcre jt stopped hmmdinf eqxhzr0z,0.6923076923076923,4
scholars studied the engineering techniques used to build the pyramid,slhooars studi4d th4 engizrerimg twlhsiquda usez u0 vmildwlgs phrampd,0.6666666666666666,1
they have been sharing interesting articles on facebook lately,tysg gavf vrdlzsjafjpg 8nfdres40kg artjclds xk falebool lafzlu,0.5483870967741935,1
students will have been accessing educational resources from anywhere in the world,ztud3nta emll have bren aclesaimg edicatjobal rlsogrczs7d5om amywhere px fhs world,0.7195121951219512,2
fighters are overcoming injuries to compete at the highest level,d0ghters arr 0vdrxa0ini injul0es d0 c0mp0td at tgz highrst mdv3l,0.640625,2
designers have integrated rainwater management systems to control runoff and erosion,drsignejs habs ivtegrztdd reindatsrumamajsmrnt dgstsms to mpntr0m ruml0f asd eroston,0.6785714285714286,2
upandcoming promotions are leveraging blockchain for transparent and secure transactions,taazdztling pr0mouipps ae3 l3wdsagimgbvlmokdhzij d0r rransparmmt abd secusr transaltikms,0.3977272727272727,1
she had prepared a fish en papillote with vegetables and herbs,she had sreparsd s fish ezppapjmlp5r 3ith vdg3tablzs dbd yerbs,0.7258064516129032,2
efforts to eliminate genderbased stereotypes in media representation have been ongoing,3fforts r0 zlim5nzte grmderbased dtesrotmp5s in mrdla representatioz hafe i3em omipizd,0.7209302325581395,2
he used to drink several cups of coffee a day but cut back on caffeine,h4 uded to dr9nk aeveeal xups rf c0f3z3 a dag but dut back ul xaffejzd,0.7285714285714285,5
she smashed the shuttlecock crosscourt leaving her opponent stranded,sge smashedktue shut4lrlocl lrosscogrt ljab4lf uer opspnrmt strajded,0.7205882352941176,1
by next year they will have been practicing yoga for eight years,by zext uear tmsy will hav4 bqen practjcjng y0ga for enght y0ars,0.828125,3
vr has been utilized in therapy for individuals with eating disorders promoting positive body image,lr gds bezm u3iljzrd im ghzra0t fp3 indiliduzls with latopg disordrrs promotom4 posgtovw vzdyzkmags,0.6767676767676768,2
the chef had cooked a seafood paella with saffroninfused rice and chorizo,mfe dkrf had diolzd o sesf00d pd3mla wut7 saffronkmdusddtrice and rh0r0zo,0.6438356164383562,3
in a month they will have been studying marine biology for six years,kn a mantt tgey will have been sttdugng marind biulxgy far s9c y3ars,0.7941176470588235,3
developers have created games that promote positive social interactions and cooperation,d3cemopwrs gave 6rdat4d rsmes thst promot0 0os0t0ve s0lial jzurracti0ns and coo03ra0uon,0.7011494252873564,2
he attended a lecture series on islamic jurisprudence at the mosque,gd att4nd3d a lzlturz2sqrjrs os 0sldmix 4trispruddxca at the moraue,0.6716417910447762,3
scientists are developing methods for the selective functionalization of molecules,pcgsztfstz nfe drfdlop0s0 mdrhods dpr thz s3ldz0ulrfdtjxticnaljzatidnsod molwzules,0.5365853658536586,1
in the future robotic surgical systems will have been empowering surgeons to perform increasingly complex procedures,ic the futada roloric aurdical ststdm3 will hav3 lewl empow0epna surgwons uo perform gmcrsassmglt ximplex pdocddurps,0.7241379310344828,4
they were sleeping with the curtains drawn to block out the light,fgey wsrr smeezim4 wi0j thq duktaazs dsasm to blocm out uhd lgrht,0.6615384615384615,3
farmer cooperatives play a vital role in negotiating fair prices for agricultural products,farmer x0operarives3pla4 a vitsm r0le ip 2ef00ia0jzg dapr zrilds for airicumtudal wfmducta,0.6888888888888889,3
they had practiced various badminton techniques with precision,tuey bad jradricdd varipus badm9pt0n twlhljquds w9th pezcjsi0n,0.6935483870967742,1
over the years women scientists have made significant contributions to astronomy,ovrr thd y4ars somrn4dxirmtists hacdzmadefsidntfprsnf c0ntrivutixzs t0 dstrocomy,0.65,1
arpowered navigation will guide shoppers to specific products,drp0werwd 0apugatrpn wgll guidd shoppd0s to splxidic pr0dicts,0.7213114754098361,2
the judiciary imposes penalties on convicted corrupt individuals,tjr judixdalu mls0aes penaltirs 9n cdnvjctrd xmrrup4 0ndixidisls,0.671875,1
international collaborations have been addressing issues of refugee displacement and migration for lasting peace,in4ernatsoldl xollanosati0ns hzvd bedn addlzzsibg 0saues pf teftgde d0wplaczm3mt apd mitratiok 3or lzstimt pzace,0.29464285714285715,1
agricultural cooperatives facilitate joint procurement of inputs and marketing of products,agljculfural9cooperativzajfacilitafe joint plodudemdnt of ukwuts amd markrtine dd nloducts,0.7555555555555555,3
many youtubers have been using the platform to raise awareness about social issues,mdxu youtubz9s habe beeb usjpi thr platd0rm tp eapsx awaldnesswabou5 s0riel issudw,0.6951219512195121,1
next year i will be cutting down on my consumption of saturated fats,zelt y3ar i will bz cutfing d0wn on my xdzsumptmon pd saturated fzt2,0.7941176470588235,4
the telescope detected the presence of a dust disk around a young star,thd 9smssz0pr detecfdd tgz plxs0ncjh0f a dudt disk sroumd a y00mg sfad,0.6285714285714286,4
chatbots will assist with postpurchase support,cuatpots wilm assist4pitm0postz0rlhasexsuppoet,0.7391304347826086,1
he lost control of the vehicle and veered off the road,he lms0 contsll of the vdhidle abd9v3erzd 0fd thd rasd,0.6666666666666666,2
i was sleeping with my arms wrapped around a pillow,i waa sleepinenzith my0arms srapped arlund z 0illoa,0.803921568627451,1
researchers have been studying the concept of dna hybridization a technique used for detecting specific dna sequences,jes3a3xhrrd havr bs0n studying thz xxzceptqod dma gybrjdidatgom aite0hm0dgd 0szd f0d dstrctuzgdspexifil dna szq04ndes,0.6324786324786325,3
students build a diverse network of friends and colleagues during foreign education,3tud3nts btild a divzrse net3prl 0f friepds and lollwa4uzs d0ring gorai0n ed0xati0m,0.7469879518072289,3
influencers will become educators providing insights and expertise to their followers,imfluend4rs woll bzczmskzdulatllf p30lrdimy snsights apd wxpwrmgsw to tmdir eollow4ms,0.6470588235294118,2
storytelling through data visualization will engage audiences on a deeper level,storgtemlgpf thr0jgh datacvidualizat0mx wglm epiag3 audiepfes on a dr3pef l3vrl,0.7088607594936709,2
many have been incorporating balance exercises into their routines for stability,mamy male b4en jncorporat0nf bzlamlr dxwr0mdww indp gheir 30utizds fom atalilitm,0.6375,1
in the next age robotassisted surgery will have been pushing the boundaries of what is achievable,in tde zext agz aobotassusted sgrgery will havd pddm pusipbg uhe bi0ndarids 0s what rs acfielabl3,0.7628865979381443,3
i have been updating my facebook story highlights with memorable moments,i gavd beec updzting my fadebx0k story hidulgg9ta witu msmorablr mom0bts,0.7638888888888888,3
quantum physicists will be experimenting with quantum teleportation of complex systems,quamuum physmliatsbwpll bs expdeimdbt9ng s0th duajtu089elsp03tatkom 0f c0mplex systdms,0.686046511627907,1
we were analyzing the impact of a novel on social consciousness,wz wrrw amalyzizg thz impact of a m0vdmy0m slcial c0mdbu0usmess,0.6666666666666666,2
they celebrated each others successes with genuine happiness,thdy c3lebsdtsd dach at3ses sm3c4ds0s wigu g3juile happlness,0.6,1
virtual assistants will integrate with wearable devices to provide onthego assistance,p0rfudm zzsistamts wi0l 0ntstrdt4 ajth weafablz dwbixzs3to provpd3 ix0hego assjstance,0.6352941176470588,1
ethical hackers will simulate advanced persistent threats to test defenses,30a0dam hackzls plll sum0late advanxed jzrsistemt dhrdafs t0 t3s93des0psss,0.6216216216216216,1
she thanked her friend for always being a good listener,she tmakl4d ger1f30rvd for always lsjkg a go0d listrnef,0.7272727272727273,3
property managers have implemented green building practices for sustainable property management,prowgrtyvmabagegs have impldmenf3d gr4dn nugldjmg pwsxtoczs f0r sus9aijabl3 pr0peltm mandgrm3n0,0.6736842105263158,2
the team will have been collaborating with external partners for a long time,ths tdwm w0llhhave nrrn xollab4rqtjnq dptu ext0rmal partndrd for a l0ng uimr,0.6973684210526315,2
they had organized a fundraiser to build a playground for children with disabilities,5hry nsd g0gal0m0d a dupdraise0 to build a playgspund for zh9ldr4m with dgsdbilitizs,0.7380952380952381,5
by next semester the platform will have been incorporating virtual field trips,by hext s3mestz3 t0d llztfdrm poll gave been izx0rporatjng birtuam dgeld tr9ps,0.7307692307692307,2
they had enjoyed a seafood platter with crab legs shrimp and oysters,kmdh had zmjomdd a szafo0d 0lattwrswuug crsp ltgsyshlmmp and phstzrs,0.6470588235294118,4
they were discussing the relevance of a classic novel in modern society,thdg were djscusainj the reledanne of s clazspn n0l3l in moderl s0cirty,0.7605633802816901,5
the algorithm has been prioritizing highquality and engaging content,thrualg0rithm uas peez pruor0tilipp higsqual8uydand enrar0ng costzpk,0.6764705882352942,1
