True Sentence,Predicted Sentence,Accuracy,Wrong syllables,LLM Sentence,LLM Accuracy,LLM Wrong syllables
by 2480 genetic engineers will have created organisms capable of surviving in space without life support,by 2480 grzztiv engileers will have created8organisms cspable of surviving 9nrspaxy without lifwdsupport,0.875,4,by 2480 genetic engineers will have created organisms capable of surviving in space without life support,1.0,0
by 2510 the local government will have been investing in green infrastructure for generations,by 2510 the local gove3nment will habe psrn inv4sting in7grren infrastructure sor gwnerations,0.8924731182795699,3,by 2510 the local government will have been investing in green infrastructure for generations,1.0,0
fully automated factories will have become the standard by 2040,fjlly automatrd factofi3s will have becomf ths standard bh 2040,0.8888888888888888,3,fully automated factories will have become the standard by 2040,1.0,0
researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,4esearchrfphwpll habe unlocked new insoghts into cogn9tivj computing with amorphous xomputinglby 2049,0.8910891089108911,4,researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,1.0,0
by 2210 education will have been a seamless blend of physical and virtual realities,br 2220 eduxation zill have been a zramldss blzmd of phys9cal andcvirtual realities,0.8674698795180723,3,by 2220 education will have been a seamless blend of physical and virtual realities,0.9879518072289156,1
companies will have adopted amorphous computing solutions across industries by 2032,companies rill have adopted amorphous compuuint solutions acr0ss indusrjies by 2032,0.9397590361445785,3,companies will have adopted amorphous computing solutions across industries by 2032,1.0,0
by 2045 the healthcare industry will have been leveraging interoperable information for over three decades,by 2045 the healthcare 9ndusfrt wiml havz bsrn leveragint 8ntjroperable informatiln for ov3r theje decades,0.8773584905660378,2,by 2045 the healthcare industry will have been leveraging interoperable information for over three decades,1.0,0
by 2650 digital literacy will have become universal bridging the digital gap,bu 2650 dugitalrlitrracy sill havd become universal bridging th4 ditihal gap,0.881578947368421,3,by 2650 digital literacy will have become universal bridging the digital gap,1.0,0
by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,by 2048 smart gr0d t3cgmologies will have vren optimizing endrty distrinution tfrough datadrjlsn informatgon interoperabilitt for thjrty ydajs,0.8732394366197183,4,by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,1.0,0
communities will have embraced digital technology as a catalyst for progress by 2470,communities will have zlbraced dugiram t3xhnology as a catalyst for progress by 0470,0.9047619047619048,2,communities will have embraced quantum technology as a catalyst for progress by 2470,0.9285714285714286,1
by 2040 elm will have become a mainstream choice for building frontend web applications,by 2030 dmm w9ll hacrdbecome a mainstrjam choice fo3 buildjng srontrnd wsb applicat8ons,0.8390804597701149,3,by 2030 dmm will have become a mainstream choice for building frontend web applications,0.9655172413793104,1
by 2050 artificial intelligence will have been continuously evolving for several decades,by 2050 agfificial untdlligenxe s8ll fave bdrn continuou2ly evolving forhseveral decades,0.8636363636363636,2,by 2050 artificial intelligence will have been continuously evolving for several decades,1.0,0
by 2049 amorphous computing will have facilitated breakthroughs in neurotechnology,nt 2049 amorph0us xomputing will have facilitated brdakthrouihs in n3urotecgnology,0.902439024390244,4,in 2049 amorphous computing will have facilitated breakthroughs in neurotechnology,0.975609756097561,1
by 2130 aipowered education systems will have been tailored to each students learning style,bm 2130 aipowerjd educafioz sys0ems will hale bfen tailyjsdkto each studznts learning style,0.8681318681318682,4,by 2130 aipowered education systems will have been tailored to each students learning style,1.0,0
researchers will have employed continual learning techniques to adapt biomedical text mining models over time by 2043,research43s zill have employed contimuam learning techniquesgto adazt biomedical te3txmining modelswovervtime by 2033,0.8974358974358975,5,researchers will have employed continual learning techniques to adapt biomedical textmining models over time by 2033,0.9871244635193133,2
